ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_salles_de_bain,Nombre_de_toilettes,Ascenseur,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Surface_constructible,Profondeur_du_terrain,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Nombre_de_place_de_parking_intérieur,Type_de_chauffage,Etat_du_bien,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_de_la_cuisine,Nombre_de_douches,Type_de_vitrage,Air_conditionné,Raccordé_à_leau_courante,Piscine_extérieure,Disponibilité_du_bien,Permis_de_bâtir_obtenu,Surface_de_la_terrasse,Nombre_de_places_de_parking_extérieur,Équipement_de_la_cuisine,Type_de_cuisine,Panneaux_solaires,Accessible_aux_moins_valides,Orientation_de_la_terrasse,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Possibilités_pour_profession_libérale,Raccordé_au_gaz_de_ville,Attestation__Citernes_à_mazout,Surface_de_lades_salles_de_bain,Parlophone,Étage_de_lappartement,Feu_ouvert,Surface_salle_à_manger,Surface_des_caves,Surface_du_grenier,Alarme_antieffraction,Chauffage_au_sol,Pompe_à_chaleur,Appartement_de_service,Surface_du_dressing,Panneaux_solaires_thermiques,Domotique,Porte_daccès_sécurisée,Surface_chambre_à_coucher_5,Surface_du_garage,Adoucisseur_deau,Orientation_du_jardin,Balcon,Compteur_Bihoraire,Attestation__Installation_électrique__Validité,Citerne_à_eau_de_pluie,Surface_du_bureau,Affectation_urbanistique_la_plus_récente,Maison_basse_énergie,Compteur_deau_individuel,HammamSaunaJacuzzi,Attestation__Asbuilt
https://immovlan.be/fr/detail/appartement/a-vendre/4670/blegny/vbc88781,VBC88781,Appartement à vendre,295000,Rue de la Station 105/2,4670 Blégny,Non,,2,88 m²,,28 m²,Non,Non,Non,Non,Non,Non,Non,,,1,,,Sud,4,,,Oui,,Oui,,,,109 kWh/m²/an,,20250611005115,,20,,Information non communiquée,Information non communiquée,,Gaz,,,,,,,,,,,,,,20 m²,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4670/blegny/vbc80285,VBC80285,Maison à vendre,279000,Rue de Booze 24,4670 Blégny,,,3,120 m²,Non,20 m²,Oui,,,Oui,,,,,,1,1,Non,Nord,4,8 m,1,Oui,116 m²,Oui,290 m²,,,507 kWh/m²/an,80263 kWh/an,,31/03/2035,125,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,Mazout,Excellent,18 m²,15 m²,12 m²,,,1,Double vitrage,,Oui,Non,A l’acte,,,,Equipée,Américaine,Oui,Non,Sud,8 m,Non,,,,Oui,,,,,,14 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/4670/blegny/rbt64579,RBT64579,Villa à vendre,625000,Trou du Renard 9,4670 Blégny,Non,1983,3,221 m²,Non,37 m²,Oui,Oui,Non,Non,Oui,Oui,Non,Oui,2,2,2,,Nord,4,,2,Oui,,Oui,1388 m²,,,203 kWh/m²/an,,20240328002424,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,Mazout,Excellent,,,,,18 m²,,Double vitrage,,Oui,,A l’acte,,67 m²,,Super équipée,,Oui,,,,Non,,Non,,Non,"non, pas d'attestation",,Non,,,,18 m²,,Oui,Non,,,11 m²,Oui,Non,Non,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/4670/blegny/vbc86217,VBC86217,Villa à vendre,650000,Rue Trou du Loup 50,4670 Blégny,,,5,330 m²,,55 m²,Oui,Oui,,,,,,Oui,1,3,4,,Est,4,,1,Oui,4030 m²,Oui,4195 m²,,,179 kWh/m²/an,98344 kWh/an,,,,"oui, attestation non conforme",Information non communiquée,Information non communiquée,3,Mazout,Excellent,18 m²,18 m²,25 m²,36 m²,16 m²,3,Double vitrage,,Oui,,,,33 m²,3,,,Oui,,Ouest,,,,,,,,,,,,,,,Oui,,,,,,,,39 m²,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4670/blegny/vbc85505,VBC85505,Appartement à vendre,229000,"Rue Entre-deux-Villes, 79/23",4670 Blégny,,,2,97 m²,,31 m²,,,,,,,,Oui,1,,,,,2,,,Oui,,Oui,,,,188 kWh/m²/an,18217 kWh/an,20250526014715,,47,,Information non communiquée,Information non communiquée,1,Mazout,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4670/blegny/vbc66093,VBC66093,Maison à vendre,249000,Place Florent Lehane 1,4670 Blégny,Non,1963,5,209 m²,Non,43 m²,Oui,Oui,,Oui,,,,,,1,3,Non,Nord,3,10 m,2,Oui,,Oui,384 m²,,,515 kWh/m²/an,122067 kWh/an,,03/04/2035,128,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,,Mazout,À rénover,22 m²,21 m²,17 m²,13 m²,14 m²,1,Double vitrage,,Oui,Non,,Non,49 m²,4,Equipée,Américaine,,Non,Ouest,10 m,Oui,Non,Non,,,,14 m²,,,,25 m²,31 m²,10 m²,,,,,,,,,9 m²,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/4670/blegny/vbc62543,VBC62543,Villa à vendre,425000,"Rue Supexhe, 26",4670 Blégny,Non,,3,270 m²,,107 m²,Non,Oui,Non,Non,Non,Non,Non,,,2,,,Sud,4,,,Oui,,Oui,4350 m²,,,,,,,,,Information non communiquée,Information non communiquée,,Non specifié,,,,,,,,,,,,,,30 m²,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4670/blegny/vbc58343,VBC58343,Appartement à vendre,235000,Rue Entre deux Villes 60/A,4670 Blégny,,,4,122 m²,,53 m²,,,,,,,,Oui,1,1,,,,3,,,,,,,,,429 kWh/m²/an,43815 kWh/an,20190104000810,,106,,Information non communiquée,Information non communiquée,1,Mazout,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4670/blegny/vbc31200,VBC31200,Maison à vendre,159000,Rue de Booze 97,4670 Blégny,,,3,298 m²,,46 m²,,,,,,,,Oui,1,1,,,,3,,,Oui,,,1039 m²,,,561 kWh/m²/an,166813 kWh/an,20250203014967,,139,,Information non communiquée,Information non communiquée,1,Mazout,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/4670/blegny/vba75761,VBA75761,Immeuble mixte à vendre,249500,Rue du Vicinal 50 11,4670 Blégny,Oui,,2,150 m²,Non,34 m²,,Oui,,Oui,,,,Oui,2,2,2,Non,,3,8 m,1,Oui,63 m²,Non,185 m²,,,358 kWh/m²/an,32749 kWh/an,,22/01/2034,67,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,2,Gaz,À rénover,12 m²,18 m²,,,16 m²,2,Double vitrage,Oui,Oui,Non,,,,,Equipée,Américaine,,Non,,,Oui,,Non,,Oui,,,,,,11 m²,,,,,,,,,,Oui,,,,,,,,,,,,,,
