ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_du_séjour,Grenier,Salle_à_manger,Surface_salle_à_manger,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Date_de_validité_PEB,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Surface_habitable,Meublé,Caves,Équipement_de_la_cuisine,Type_de_cuisine,Type_de_chauffage,Type_de_vitrage,Parlophone,Ascenseur,Conso_annuelle_totale_dénergie_primaire,Buanderie,Air_conditionné,Accessible_aux_moins_valides,Largeur_de_la_façade,Orientation_de_la_terrasse,Largeur_du_terrain_à_rue,Raccordé_au_gaz_de_ville,Emission_de_CO2,Année_de_construction,Nombre_détages_de_limmeuble,Piscine_extérieure,Référence_PEB,Possibilités_pour_profession_libérale,Bien_actuellement_loué,Local_vélo,Station_de_charge_électrique,Adoucisseur_deau,Maison_basse_énergie,Panneaux_solaires,Chauffage_au_sol,Pompe_à_chaleur,Compteur_Bihoraire,Domotique,Alarme_antieffraction,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Adaptations_pour_les_seniors,Citerne_à_eau_de_pluie,Attestation__Installation_électrique__Validité,Attestation__Citernes_à_mazout,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_de_lades_salles_de_bain,Profondeur_du_terrain,Panneaux_solaires_thermiques,Permis_de_bâtir_obtenu,Le_bien_fait_lobjet_dun_droit_de_préemption,Étage_de_lappartement,Surface_du_grenier,Surface_du_garage,Surface_des_caves,Permis_durbanisation_accordé,Dressing,Attestation__Asbuilt,Niveau_E,Orientation_du_jardin,Balcon,Appartement_de_service,Véranda,Surface_du_bureau,Surface_totale,Surface_constructible,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Espace_ouvert_sensible_à_leau__WORG
https://immovlan.be/fr/detail/maison/a-vendre/7040/quevy/vbc76711,VBC76711,Maison à vendre,290000,Rue de Frameries 18,7040 Quévy,Normal,A l’acte,5,,,,40 m²,Oui,Oui,30 m²,Oui,1,,,1,,1,,4,,Oui,,Oui,,1600 m²,Oui,Oui,551 kWh/m²/an,07/02/2035,"oui, attestation non conforme",Information non communiquée,Information non communiquée,254 m²,,Oui,Semi-équipée,Kitchenette,Gaz,Double vitrage,,Non,,,,,,,,Oui,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,Non,,,,,Non,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7040/quevy-le-petit/vba88450,VBA88450,Maison à vendre,272000,,7040 Quévy-le-Petit,,,3,15 m²,11 m²,12 m²,,,Non,,Oui,1,,10 m²,,,,,,,Oui,,Oui,,,Oui,,,,"non, pas d'attestation",Information non communiquée,Information non communiquée,,,Oui,Non équipée,,Non specifié,Simple vitrage,Non,,0 kWh/an,Oui,Non,,,,,,,,,,,,,,,,Non,Non,Non,,,Non,Non,Non,Non,Non,,,,"non, pas d'attestation",,,,,,Non,Non,Non,,,34 m²,9 m²,Non,Non,Non,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7040/quevy-le-petit/vba88449,VBA88449,Maison à vendre,208000,,7040 Quévy-le-Petit,,,3,15 m²,13 m²,12 m²,,,Non,,Oui,1,,10 m²,,1,,,,,Oui,,Oui,,,Oui,,,,"non, pas d'attestation",Information non communiquée,Information non communiquée,135 m²,,Oui,Non équipée,,Non specifié,Simple vitrage,Non,,0 kWh/an,Oui,Non,,,,,,,,,,,,,,,,Non,Non,Non,,,Non,Non,Non,Non,Non,,,,"non, pas d'attestation",,,,,,Non,Non,Non,,,34 m²,9 m²,Non,Non,Non,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7040/genly/vbc84924,VBC84924,Maison à vendre,120000,Rue de l'Eglise 3,7040 Genly,Excellent,,2,11 m²,11 m²,,21 m²,Oui,,,Oui,1,1,10 m²,1,,1,,3,,,,Oui,22 m²,94 m²,Oui,Oui,348 kWh/m²/an,16/04/2035,"oui, attestation non conforme",Information non communiquée,Information non communiquée,60 m²,Non,,Equipée,Américaine,Gaz,Double vitrage,,Non,33855 kWh/an,,,Non,4 m,Sud-ouest,4 m,Oui,,1949,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,Non,Non,,,,,Non,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7040/asquillies/vbc79616,VBC79616,Maison à vendre,159000,Rue Émile Wauquier 30,7040 Asquillies,À rénover,A l’acte,3,20 m²,12 m²,9 m²,,Oui,Oui,10 m²,Oui,1,1,15 m²,1,,2,,4,1,Oui,500 m²,Oui,,603 m²,,Oui,285 kWh/m²/an,25/07/2034,"oui, attestation non conforme",Information non communiquée,Information non communiquée,138 m²,Non,Oui,Equipée,Américaine,Gaz,Double vitrage,,Non,58481 kWh/an,,,Non,10 m,,10 m,Oui,,,,,,,Non,,,,,,,,,,,,,,,,,,,29 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/7040/genly/vbc71382,VBC71382,Immeuble mixte à vendre,285000,,7040 Genly,Normal,A l’acte,5,13 m²,13 m²,22 m²,28 m²,Oui,,,,,,3 m²,2,1,2,,3,,,,Oui,110 m²,350 m²,Oui,Oui,434 kWh/m²/an,27/06/2028,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,231 m²,Non,Oui,,,Gaz,Double vitrage,,Non,82 kWh/an,,,Non,16 m,Sud-ouest,16 m,Oui,82,1919,2,Non,,,Non,,Oui,,,,,,,,,,,,,,,,,13 m²,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7040/genly/vbc70987,VBC70987,Maison à vendre,376211,,7040 Genly,Nouveau,,3,,,,,,,,,,,,1,,2,,4,,Oui,,,,1479 m²,,,,,,Information non communiquée,Information non communiquée,140 m²,,,,,,,,,,,,,10 m,,10 m,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7040/genly/vwd13216,VWD13216,Maison à vendre,120000,de bavay 84,7040 Genly,Normal,,2,,,,,,,,,,,,2,,,,2,,Oui,100 m²,,,,,,,,,Information non communiquée,Information non communiquée,125 m²,,,,,Electrique,Double vitrage,,,,,Non,,,,,,,1940,,,,,,,Non,,Non,Non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7040/quevy/vbc63490,VBC63490,Maison à vendre,89000,Rue Grande 21,7040 Quévy,À rénover,,2,17 m²,12 m²,,28 m²,Oui,Oui,17 m²,,,,8 m²,1,1,1,,2,,Oui,,Oui,,190 m²,,Oui,479 kWh/m²/an,,"oui, attestation non conforme",Information non communiquée,Information non communiquée,115 m²,,,,Indépendante,Gaz,,,,55227 kWh/an,,,,,,,Oui,,1850,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7040/aulnois/vbc63087,VBC63087,Maison à vendre,379016,,7040 Aulnois,Nouveau,,4,,,,,,,,,,,,2,,2,,4,,,,,,1204 m²,,,,,,Information non communiquée,Information non communiquée,189 m²,,,,,,,,,,,,,12 m,,12 m,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
