ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Véranda,Salle_à_manger,Surface_salle_à_manger,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Type_de_chauffage,Ascenseur,Accessible_aux_moins_valides,Nombre_de_façades,Jardin,Terrasse_aménagée,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Bien_actuellement_loué,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Type_de_vitrage,Largeur_de_la_façade,Nombre_de_places_de_parking_extérieur,Surface_du_jardin,Orientation_du_jardin,Surface_de_la_terrasse,Orientation_de_la_terrasse,Largeur_du_terrain_à_rue,Citerne_à_eau_de_pluie,Station_de_charge_électrique,Panneaux_solaires,Alarme_antieffraction,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Dressing,Buanderie,Local_vélo,Référence_PEB,Orientation_de_la_façade_du_bien,Nombre_détages_de_limmeuble,Profondeur_du_terrain,Raccordé_au_gaz_de_ville,Affectation_urbanistique_la_plus_récente,Surface_des_caves,Surface_constructible,Feu_ouvert,Adoucisseur_deau,Surface_du_garage,Chauffage_au_sol,Air_conditionné,Domotique,Parlophone,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Étage_de_lappartement,Attestation__Installation_électrique__Validité,Maison_basse_énergie,Compteur_Bihoraire,Balcon,Possibilités_pour_profession_libérale,Pompe_à_chaleur,Adaptations_pour_les_seniors,Attestation__Citernes_à_mazout,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Attestation__Asbuilt,Surface_du_bureau,Surface_du_grenier,Surface_de_la_véranda,Porte_de_garage_motorisée,Attestation__Citernes_à_mazout__Validité,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Surface_totale,Niveau_E,Clef_électronique
https://immovlan.be/fr/detail/maison/a-vendre/7760/pottes/vbc57306,VBC57306,Maison à vendre,230000,Sèbles 22,7760 Pottes,Normal,,,2,,,115 m²,Non,,,Oui,,,,Semi-équipée,,,1,,1,,Mazout,Non,,3,Oui,Non,389 m²,,Oui,,818 kWh/m²/an,96051 kWh/an,,,"oui, attestation non conforme",Information non communiquée,Information non communiquée,,,,,Oui,1,,,20 m,2,,,,,,,,,,,,,,,,20240627020824,Sud-ouest,,60 m,,,,200 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/7760/pottes/vbc56656,VBC56656,Villa à vendre,449000,,7760 Pottes,,,,4,,,310 m²,Non,,,,,,,,,,2,,,,Gaz,Non,,4,Oui,Oui,2190 m²,,,,287 kWh/m²/an,,,,pas d'application,Pas de risque d’inondation,Information non communiquée,,,,,Oui,2,,,,6,,,,,,,,Oui,,,,,,,,20160909014917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/7760/celles/vbc51749,VBC51749,Appartement à vendre,250000,,7760 Celles,Normal,,,2,,,119 m²,Non,,,Oui,,,,,,,1,,,,Non specifié,Non,,,Non,Oui,,,,,112 kWh/m²/an,20322 kWh/an,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,,,,,,,,,,,,10 m²,,,,,,,,,,,,,20230219003766,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/7760/celles/vbc49478,VBC49478,Duplex à vendre,285000,,7760 Celles,Nouveau,,A l’acte,3,,,121 m²,Non,,Oui,,,,,Equipée,Américaine,,1,1,1,,Gaz,Oui,,,,Oui,,Oui,Oui,Non,107 kWh/m²/an,13844 kWh/an,29/04/2034,,,Information non communiquée,Information non communiquée,,,,,,,,Double vitrage,,,,,8 m²,Sud-ouest,,,,,,,,,,,,,,,,Oui,,,,,,,,,,Oui,,,2,,,,Oui,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7760/celles/vbb53685,VBB53685,Maison à vendre,389000,Clos du Village 9,7760 Celles,,,,4,,,178 m²,Non,,Non,Non,Non,Non,,,,,1,,2,,,Non,,,,Oui,870 m²,,,,173 kWh/m²/an,,,,"oui, attestation conforme",Information non communiquée,Information non communiquée,Non,,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,20191001006574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/fermette/a-vendre/7760/celles/vbc27993,VBC27993,Fermette à vendre,650000,,7760 Celles,Normal,1900,,3,17 m²,8 m²,350 m²,,72 m²,Oui,,,,,Equipée,Américaine,18 m²,1,,1,,Bois,,,4,Oui,Oui,,Oui,Oui,,345 kWh/m²/an,141663 kWh/an,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,Double vitrage,60 m,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/7760/celles/rbr82802,RBR82802,Appartement à vendre,294000,Rue Provinciale 81 A 6,7760 Celles,,2023,,3,,,125 m²,,,,,,,,,,,1,,1,,,Non,Non,,Oui,Oui,,,,,,,,,,Pas de risque d’inondation,Information non communiquée,,,,,Oui,,,,,,,,,,,,,,Non,,,,,,,,Sud-ouest,,,,,,,,,,,,,,,,0,,,,Non,,,,,Non,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/7760/celles/vbb04686,VBB04686,Villa à vendre,595000,,7760 Celles,,2012,,3,,,265 m²,Non,,Non,Oui,Non,Non,,,,,1,,,,Electrique,Non,,4,Oui,Oui,1190 m²,,,,30 kWh/m²/an,,,,pas d'application,Information non communiquée,Information non communiquée,Non,,,,Oui,2,,,,4,,,,,,,,Oui,,,,,Non,Non,Non,20240404023906,Sud,,,,,,300 m²,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7760/celles/vaz52224,VAZ52224,Maison à vendre,,,7760 Celles,,,,4,,,315 m²,Non,76 m²,Non,Non,Non,Non,,,,,1,,,,Gaz,Non,,4,Oui,Oui,35000 m²,,,,304 kWh/m²/an,,,,pas d'application,Information non communiquée,Information non communiquée,Non,,,,Oui,2,,,,,,,,,,,,,,,,,Non,Non,Non,20230414007173,,,,,,,600 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/7800/lanquesaint/vbc82305,VBC82305,Villa à vendre,395500,Sentier du Point d'Arrêt 1,7800 Lanquesaint,,,,3,,,154 m²,Non,40 m²,Non,Non,Non,Non,,,,,1,,1,,,Non,,4,Oui,,1153 m²,,,,223 kWh/m²/an,,,,pas d'application,Information non communiquée,Information non communiquée,Non,,,,Oui,1,,,,,,,,,,,,,,,,,Non,Non,Non,20230612026481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/7800/lanquesaint/vbb93764,VBB93764,Maison à vendre,195000,Chemin des Crolites 97,7800 Lanquesaint,,,,2,13 m²,16 m²,107 m²,,,,Oui,,,,Non équipée,,10 m²,1,,1,,,,,,Oui,Oui,792 m²,,Oui,,,,,,"non, pas d'attestation",Information non communiquée,Information non communiquée,,,,,Oui,1,,Double vitrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 m²,,,,,,,,,,,,,,,,,,10 m²,,,,,,,,,,,
