ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Surface_du_grenier,Salle_à_manger,Surface_salle_à_manger,Garage,Nombre_de_Garages,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Orientation_de_la_terrasse,Surface_totale_du_terrain,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Buanderie,Nombre_de_place_de_parking_intérieur,Panneaux_solaires,Panneaux_solaires_thermiques,Chauffage_au_sol,Pompe_à_chaleur,Compteur_Bihoraire,Nombre_de_places_de_parking_extérieur,Orientation_du_jardin,Référence_PEB,Véranda,Permis_durbanisation_accordé,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_chambre_à_coucher_5,Nombre_de_douches,Nombre_détages_de_limmeuble,Citerne_à_eau_de_pluie,Surface_des_caves,Surface_du_garage,Surface_constructible,Bien_actuellement_loué,Permis_de_bâtir_obtenu,Attestation__Installation_électrique__Validité,Étage_de_lappartement,Station_de_charge_électrique,Local_vélo,Feu_ouvert,Surface_du_bureau,Parlophone,Alarme_antieffraction,HammamSaunaJacuzzi,Profondeur_du_terrain,Dressing,Attestation__Asbuilt,Possibilités_pour_profession_libérale,Surface_totale,Air_conditionné,Domotique,Porte_daccès_sécurisée,Attestation__Citernes_à_mazout,Adoucisseur_deau,Porte_de_garage_motorisée,Maison_basse_énergie
https://immovlan.be/fr/detail/maison/a-vendre/6720/habay-la-neuve/vbc74126,VBC74126,Maison à vendre,495000,Rue de la Cabine 4,6720 Habay-la-Neuve,Normal,1850,,4,,,,,298 m²,Non,53 m²,Non,Oui,,Non,,Oui,1,Super équipée,,,1,2,,Mazout,,Non,,Nord,3,26 m,Oui,,,,,610 m²,,,,,,326 kWh/m²/an,,,81,"oui, attestation non conforme",,Information non communiquée,Information non communiquée,Non,,,,,,,1,,20250122010211,Non,,,,1,1,,,,240 m²,Non,,,,,Non,,,,,,20 m,Non,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6720/habay-la-neuve/vbc66244,VBC66244,Appartement à vendre,,,6720 Habay-la-Neuve,,,,2,,,,,93 m²,,,,,,,,,,,,,,,,,,,,,,,,,Oui,8 m²,,,,,,,,19 kWh/m²/an,1735 kWh/an,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6720/habay-la-neuve/vbc22188,VBC22188,Appartement à vendre,275000,Rue des Scories 29-1,6720 Habay-la-Neuve,Nouveau,2024,,2,,,,,73 m²,Non,,,,,,,Oui,,,Indépendante,,1,1,,Gaz,Double vitrage,Oui,Oui,,,,,,Oui,7 m²,,,,Oui,Oui,Oui,,39 kWh/m²/an,2982 kWh/an,,,"oui, attestation conforme",,Information non communiquée,Information non communiquée,,28,Oui,,,,,16,,,,,,,,3,,,,,,,,3,,Oui,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6720/habay-la-neuve/vbc22148,VBC22148,Appartement à vendre,225000,Rue des Scories 29-1,6720 Habay-la-Neuve,Nouveau,2024,,1,,,,,64 m²,Non,,,,,,,Oui,,,Indépendante,,1,1,,Gaz,Double vitrage,Oui,Oui,,,,,,Oui,5 m²,,,,Oui,Oui,Oui,,41 kWh/m²/an,2571 kWh/an,,,"oui, attestation conforme",,Information non communiquée,Information non communiquée,,28,Oui,,,,,16,,,,,,,,3,,,,,,,,1,,Oui,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6720/habay-la-neuve/vbc54859,VBC54859,Maison à vendre,345000,Rue de la Libération,6720 Habay-la-Neuve,Nouveau,,Immédiatement,3,,,,,130 m²,Non,,,Oui,,,,,,Non équipée,,,1,,,Non specifié,,Non,,Nord,2,,Oui,,Non,,,199 m²,,,,,,39 kWh/m²/an,5343 kWh/an,,1257,pas d'application,,Information non communiquée,Information non communiquée,,,Oui,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,Non,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6720/habay-la-neuve/vbc54858,VBC54858,Maison à vendre,369000,Rue de la Libération,6720 Habay-la-Neuve,Nouveau,,Immédiatement,3,,,,,133 m²,Non,,,Oui,,,,,,Super équipée,,,1,,,Non specifié,,Non,,Nord,2,,Oui,,Non,,,260 m²,,,,,,39 kWh/m²/an,5460 kWh/an,,1281,pas d'application,,Information non communiquée,Information non communiquée,,,Oui,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,Non,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/6720/habay/vbc29157,VBC29157,Appartement à vendre,395000,,6720 Habay,Excellent,1971,Immédiatement,3,21 m²,16 m²,9 m²,,158 m²,Non,33 m²,,,,,,Oui,,Equipée,Américaine,18 m²,2,2,5 m²,Mazout,Double vitrage,Non,Non,Est,3,,,,Oui,,,,,,,Oui,Non,120 kWh/m²/an,11998 kWh/an,,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,1,,,,,,1,,,,,,,2,2,,,,,Oui,,,0,,,,,Oui,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6720/habay-la-neuve/vbc10793,VBC10793,Maison à vendre,369000,Rue de la Libération,6720 Habay-la-Neuve,Nouveau,,,3,,,,,192 m²,Non,,Non,Oui,,Non,,,,Semi-équipée,,,1,,,Non specifié,,Non,,Nord,2,,Oui,,,,,286 m²,,,,,,40 kWh/m²/an,,,1590,pas d'application,,Information non communiquée,Information non communiquée,Non,,Oui,,,,,,,,Non,,,,,2,,,,,Non,,,,,Non,,,,,,,Non,Non,,,,,,,,,
https://immovlan.be/fr/detail/maison-de-maitre/a-vendre/6720/habay/vbb89799,VBB89799,Maison de maître à vendre,629000,avenue de la gare 5,6720 Habay,À rénover,1850,,5,13 m²,21 m²,15 m²,14 m²,350 m²,Non,21 m²,Oui,Oui,,Oui,21 m²,,,Equipée,Américaine,12 m²,1,2,,,,Non,Non,,2,,Oui,,Oui,,,1210 m²,,Oui,,Oui,Non,194 kWh/m²/an,87011 kWh/an,,48,"oui, attestation non conforme",,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,Oui,,,21 m²,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6720/habay-la-neuve/vbb70258,VBB70258,Maison à vendre,345000,Rue de la Libération,6720 Habay-la-Neuve,Nouveau,,Immédiatement,3,,,,,163 m²,Non,,Non,Oui,,Non,,,,Semi-équipée,,,1,2,,Non specifié,,Non,,Nord,2,,Oui,,Oui,,,219 m²,,,,,,38 kWh/m²/an,,,1250,pas d'application,,Information non communiquée,Information non communiquée,Non,,Oui,,,,,,,,Non,,,,,2,,,,,Non,,,,,Non,,,,,,,Non,Non,,,,,,,,,
