ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_habitable,Surface_du_séjour,Caves,Surface_des_caves,Grenier,Garage,Nombre_de_place_de_parking_intérieur,Nombre_de_salles_de_bain,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Nombre_de_façades,Nombre_détages_de_limmeuble,Jardin,Surface_totale_du_terrain,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Référence_PEB,Attestation__Installation_électrique,Permis_de_bâtir_obtenu,Type_de_zone_inondable,Zone_inondable_délimitée,Bien_actuellement_loué,Surface_chambre_à_coucher_4,Surface_du_bureau,Surface_du_grenier,Véranda,Salle_à_manger,Surface_salle_à_manger,Nombre_de_Garages,Surface_de_la_cuisine,Nombre_de_douches,Surface_de_lades_salles_de_bain,Panneaux_solaires,Largeur_de_la_façade,Nombre_de_places_de_parking_extérieur,Surface_du_jardin,Orientation_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_à_leau_courante,Emission_de_CO2,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Équipement_de_la_cuisine,Type_de_cuisine,Orientation_de_la_façade_du_bien,Dressing,Buanderie,Local_vélo,Attestation__Citernes_à_mazout,Surface_chambre_à_coucher_5,Orientation_de_la_terrasse,Date_de_validité_PEB,Meublé,Ascenseur,Accessible_aux_moins_valides,Raccordé_au_gaz_de_ville,Piscine_extérieure,Parlophone,Porte_daccès_sécurisée,Étage_de_lappartement,Feu_ouvert,Surface_constructible,Balcon,Année_de_construction,Surface_du_garage,Attestation__Asbuilt,Citerne_à_eau_de_pluie,Surface_totale,Adoucisseur_deau,Compteur_Bihoraire,Alarme_antieffraction,Station_de_charge_électrique,Maison_basse_énergie,Chauffage_au_sol,Pompe_à_chaleur,Air_conditionné,Domotique,HammamSaunaJacuzzi,Adaptations_pour_les_seniors,Attestation__Installation_électrique__Validité,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Panneaux_solaires_thermiques,Compteur_deau_individuel
https://immovlan.be/fr/detail/maison/a-vendre/6500/beaumont/vbc90649,VBC90649,Maison à vendre,275000,Rue Félix Dutry 11,6500 Beaumont,Normal,A l’acte,3,,,,223 m²,,Non,,Oui,Oui,,2,3,Mazout,,2,,,135 m²,297 kWh/m²/an,,20211213023797,"oui, attestation conforme",,Information non communiquée,Information non communiquée,Non,,,,Non,Non,,1,,,,,,,,,Oui,,,,,Oui,,,,,,Nord-ouest,Non,Non,Non,,,,13/12/2031,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/6500/beaumont/vbc86723,VBC86723,Villa à vendre,270000,Rue de la Perche 17,6500 Beaumont,À rénover,A l’acte,3,14 m²,11 m²,14 m²,156 m²,31 m²,Oui,,Oui,Oui,,1,1,Mazout,,4,2,Oui,453 m²,400 kWh/m²/an,96084 kWh/an,,"oui, attestation non conforme",Oui,Pas de risque d’inondation,Information non communiquée,Non,,,,,,,2,17 m²,,4 m²,,7 m,,338 m²,,Oui,,31 m,7 m,Oui,Oui,99,Non,Non,,,Nord-ouest,,,,,,,27/05/2035,Non,Non,Oui,,Non,,,,,,,1970,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6500/beaumont/vbc86477,VBC86477,Maison à vendre,229000,chaussée de Charleroi 43,6500 Beaumont,,,2,,,,180 m²,,,,Oui,Oui,,1,,,,3,,Oui,,298 kWh/m²/an,45955 kWh/an,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,,,06/06/2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6500/barbencon/vbc61232,VBC61232,Maison à vendre,497000,Rue du Fayt 17,6500 Barbençon,Normal,A l’acte,5,21 m²,29 m²,17 m²,384 m²,36 m²,Oui,7 m²,,Oui,,2,3,Mazout,Double vitrage,4,2,Oui,2730 m²,246 kWh/m²/an,117535 kWh/an,,"oui, attestation conforme",,Pas de risque d’inondation,Information non communiquée,,21 m²,25 m²,,,,,2,31 m²,1,10 m²,Oui,20 m,4,2389 m²,,Oui,117 m²,47 m,20 m,Oui,,60,,,,,,,,,,35 m²,,30/01/2026,Non,Non,Non,,Oui,,,,,,,1995,,,Oui,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6500/beaumont/vbc36779,VBC36779,Maison à vendre,185000,Madame 24,6500 Beaumont,À rénover,A l’acte,7,,,,344 m²,,,,,,,3,3,Non specifié,,3,,Oui,920 m²,702 kWh/m²/an,280487 kWh/an,20230228000475,"non, pas d'attestation",,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,4,450 m²,,Oui,,40 m,,,,200,,,Equipée,,Sud,,,,,,,28/02/2033,Non,Non,,,,,,,,134 m²,,1900,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6500/beaumont/vbc85996,VBC85996,Maison à vendre,320000,Rue Germain Michiels 52,6500 Beaumont,Normal,A convenir,5,,,,258 m²,,Non,,Oui,Oui,,1,2,Non specifié,,4,,Oui,1390 m²,497 kWh/m²/an,,20250402020517,"oui, attestation conforme",,Information non communiquée,Information non communiquée,Non,,,,Non,Non,,2,,,,,,10,,,Oui,,,,,,,,,,,,Non,Non,Non,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6500/leugnies/vbc85216,VBC85216,Maison à vendre,280000,,6500 Leugnies,,,2,,,,100 m²,,Non,,Non,Oui,,1,1,Mazout,,,,,,,,,,,Information non communiquée,Information non communiquée,Non,,,,Non,Non,,,,,,,,10,,,Oui,,,,,,,,,,,,Non,Non,Non,,,,,Non,Non,,,Non,,,,Non,100 m²,Non,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6500/barbencon/vbc31983,VBC31983,Maison à vendre,549000,Rue du Noir Chat 5A,6500 Barbençon,Normal,,8,,,,550 m²,70 m²,Non,,Non,Oui,,2,2,Mazout,,4,,Oui,4621 m²,200 kWh/m²/an,,20210929000424,"oui, attestation non conforme",,Information non communiquée,Information non communiquée,Non,,,,Non,Non,,1,,,,Oui,,50,,,,,,,,,,,,Super équipée,,,Non,Non,Non,,,,29/09/2031,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/6500/beaumont/vbc80049,VBC80049,Villa à vendre,299000,Rue du Long Marché 16,6500 Beaumont,Excellent,A l’acte,4,,,,190 m²,40 m²,Non,,Oui,Oui,,1,2,Mazout,,4,,Oui,1266 m²,408 kWh/m²/an,,20250407028576,"oui, attestation non conforme",,Information non communiquée,Information non communiquée,Non,,,,Non,Non,,2,,,,,45 m,2,,,Oui,,,,,Oui,101,,,,,Nord-est,Non,Non,Non,,,,07/04/2035,Non,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6500/solre-saint-gery/vwd13387,VWD13387,Maison à vendre,200000,Rue Plagne 45,6500 Solre-Saint-Géry,Excellent,A l’acte,3,20 m²,19 m²,17 m²,170 m²,31 m²,Oui,14 m²,Oui,,,1,,Mazout,Double vitrage,3,,Oui,,369 kWh/m²/an,79641 kWh/an,20250413011678,,,Pas de risque d’inondation,Information non communiquée,Non,,20 m²,90 m²,,,,,15 m²,,12 m²,,,,300 m²,,,,,,Oui,Oui,91,,,Equipée,Indépendante,,,Oui,Oui,,,,13/04/2035,,,,Non,,Oui,,,,,,,,,Oui,216 m²,Oui,Oui,Oui,,,,,,,,,,,,
