ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_habitable,Meublé,Caves,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Type_de_chauffage,Type_de_vitrage,Parlophone,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Surface_totale_du_terrain,Profondeur_du_terrain,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Type_de_zone_inondable,Zone_inondable_délimitée,Année_de_construction,Disponibilité_du_bien,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_du_séjour,Surface_des_caves,Dressing,Surface_du_dressing,Garage,Nombre_de_Garages,Surface_du_garage,Surface_de_la_cuisine,Jardin,Surface_du_jardin,Terrasse_aménagée,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Piscine_extérieure,Emission_de_CO2,Attestation__Installation_électrique,Nombre_de_place_de_parking_intérieur,Équipement_de_la_cuisine,Type_de_cuisine,Panneaux_solaires,Pompe_à_chaleur,Étage_de_lappartement,Surface_de_la_terrasse,Grenier,Surface_du_grenier,Salle_à_manger,Surface_salle_à_manger,Chauffage_au_sol,Citerne_à_eau_de_pluie,Affectation_urbanistique_la_plus_récente,Orientation_de_la_terrasse,Attestation__Installation_électrique__Validité,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Orientation_du_jardin,Véranda,Raccordé_au_gaz_de_ville,Buanderie,Local_vélo,Feu_ouvert,Référence_PEB,Surface_constructible,Surface_du_bureau,Station_de_charge_électrique,Maison_basse_énergie,Air_conditionné,Panneaux_solaires_thermiques,Compteur_deau_individuel,Domotique,Alarme_antieffraction,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Balcon,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Compteur_Bihoraire,Possibilités_pour_profession_libérale,Porte_de_garage_motorisée,Adoucisseur_deau,Compteur_électrique_individuel,Compteur_de_gaz_individuel,Adaptations_pour_les_seniors,Appartement_de_service,Espace_ouvert_sensible_à_leau__WORG
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/4950/waimes/vbc67128,VBC67128,Immeuble mixte à vendre,750000,4950 Waimes,,Normal,Non,17,18 m²,16 m²,711 m²,Oui,Oui,14,14,17,,Mazout,Double vitrage,,Non,Non,Sud,4,30 m,,10,2200 m²,,Oui,295 kWh/m²/an,67885 kWh/an,28/11/2027,Pas de risque d’inondation,Information non communiquée,1940,A l’acte,16 m²,17 m²,14 m²,50 m²,,,,Oui,1,40 m²,44 m²,Oui,1500 m²,Oui,30 m,Oui,Non,73,"oui, attestation conforme",2,,,,,,60 m²,,,Oui,50 m²,,,,Est,,Non,Non,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4950/waimes/vbc65225,VBC65225,Maison à vendre,299000,Rue Andrifosse 4,4950 Waimes,À rénover,Non,6,21 m²,21 m²,300 m²,Non,,1,1,2,,Mazout,Double vitrage,,Non,Non,Sud-ouest,4,10 m,2,7,1156 m²,,Oui,705 kWh/m²/an,132361 kWh/an,08/12/2029,Pas de risque d’inondation,Information non communiquée,1948,A l’acte,15 m²,15 m²,14 m²,20 m²,,,,,,,46 m²,Oui,680 m²,,10 m,Oui,Non,174,"oui, attestation non conforme",,,,Oui,,,,Oui,,Oui,20 m²,,,,,,Non,Non,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/fermette/a-vendre/4950/waimes/vbc64025,VBC64025,Fermette à vendre,564000,Walk 7,4950 Waimes,Normal,,4,,,250 m²,Non,Oui,3,3,4,,Mazout,Double vitrage,,Non,Non,Nord,4,,2,3,5077 m²,,Oui,290 kWh/m²/an,94800 kWh/an,26/06/2034,Pas de risque d’inondation,Information non communiquée,1850,A l’acte,,,,,,,,Oui,,,,Oui,,Oui,,Non,Oui,72,"oui, attestation conforme",2,Super équipée,,,,,,Oui,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4950/waimes/vbc53076,VBC53076,Maison à vendre,229000,,4950 Waimes,À rénover,Oui,3,14 m²,12 m²,105 m²,Non,Oui,1,1,1,,,Double vitrage,,Non,Non,Nord-est,4,12 m,,1,855 m²,,Oui,389 kWh/m²/an,64557 kWh/an,24/03/2035,Pas de risque d’inondation,Information non communiquée,1970,,11 m²,,,27 m²,,,,Oui,1,,12 m²,Oui,,Oui,12 m,Non,Non,96,,1,Semi-équipée,Kitchenette,,,,,Oui,,,,,,,Sud-ouest,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4950/waimes/vbc61127,VBC61127,Appartement à vendre,235000,Route des Bains 25,4950 Waimes,Normal,Oui,2,16 m²,9 m²,68 m²,Non,Oui,1,1,1,5 m²,,Double vitrage,,Non,Non,,3,,,2,,,Oui,,,,Information non communiquée,Information non communiquée,,,,,,28 m²,,,,,,,,,,Oui,,,Non,,"oui, attestation conforme",,,,,,1,,,,,,,,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4950/waimes/vbc59648,VBC59648,Maison à vendre,395000,Bruyères 33,4950 Waimes,À rénover,Non,4,,,342 m²,Non,Non,,1,2,,Mazout,,,Non,,Sud,4,20 m,2,6,1152 m²,36 m,Oui,538 kWh/m²/an,,26/03/2035,Pas de risque d’inondation,Information non communiquée,1980,A l’acte,,,,,,Non,,Oui,,,,Oui,500 m²,Oui,,,,133000,"oui, attestation non conforme",,Semi-équipée,,,,,80 m²,Non,,Non,,,,,,,,,,,Non,,Non,Non,,20250326004174,385 m²,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/4950/waimes/vbc59553,VBC59553,Villa à vendre,495000,Rue Saint-Donat 53,4950 Waimes,Normal,Non,5,10 m²,14 m²,211 m²,Non,Oui,1,1,2,9 m²,Mazout,Double vitrage,,Non,Non,,4,20 m,4,2,2993 m²,98 m,Oui,283 kWh/m²/an,75159 kWh/an,13/02/2035,Pas de risque d’inondation,Information non communiquée,,,10 m²,10 m²,20 m²,37 m²,12 m²,,,Oui,1,,15 m²,Oui,2773 m²,Oui,20 m,Non,Oui,70,"oui, attestation conforme",,Equipée,Américaine,,,,144 m²,Oui,29 m²,,,,,,,,Oui,Non,Non,Sud-ouest,Oui,,,,Oui,,,9 m²,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4950/waimes/vbc53248,VBC53248,Maison à vendre,540000,Rue des Romains 7A,4950 Waimes,,,4,,,205 m²,,,2,,,,Non specifié,,,,,,,,,4,,,,,,,Information non communiquée,Information non communiquée,2025,,,,,,,,,Oui,,,,Oui,924 m²,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4950/waimes/vbc37651,VBC37651,Maison à vendre,210000,Rue de la Paix 41,4950 Waimes,À rénover,Oui,6,11 m²,11 m²,250 m²,Non,Oui,2,2,3,,Mazout,Double vitrage,,Non,Non,,3,,,,450 m²,,Oui,501 kWh/m²/an,94541 kWh/an,16/05/2027,Pas de risque d’inondation,Information non communiquée,,A l’acte,15 m²,15 m²,11 m²,25 m²,,,,Oui,2,,14 m²,Oui,,Oui,,Non,Non,129,,,Semi-équipée,Kitchenette,,,,23 m²,Oui,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4950/waimes/vwd12254,VWD12254,Maison à vendre,449000,Ruthier 13,4950 Waimes,Excellent,,6,,,288 m²,,,6,,,,Mazout,Double vitrage,,,,,4,,,,,,,305 kWh/m²/an,,,Information non communiquée,Information non communiquée,1955,,,,,,,,,Oui,,,,Oui,600 m²,Oui,,,,,,1,,,Oui,Non,,23 m²,,,,,,,,,,,,,,,,,,,,,,Non,Non,Oui,,,,,,,,,,,,,,,,,,,
