ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_habitable,Meublé,Grenier,Surface_du_grenier,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Panneaux_solaires,Chauffage_au_sol,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Orientation_de_la_terrasse,Surface_totale_du_terrain,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Piscine_extérieure,Attestation__Installation_électrique,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Etat_du_bien,Surface_du_séjour,Surface_du_bureau,Caves,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Équipement_de_la_cuisine,Type_de_chauffage,Profondeur_du_terrain,Conso_spécifique_dénergie_primaire,Référence_PEB,Date_de_validité_PEB,Surface_constructible,Emission_de_CO2,Conso_annuelle_totale_dénergie_primaire,Type_de_cuisine,Pompe_à_chaleur,Compteur_Bihoraire,Parlophone,Raccordé_au_gaz_de_ville,Niveau_E,Surface_des_caves,Surface_salle_à_manger,Surface_de_la_cuisine,Alarme_antieffraction,Feu_ouvert,Maison_basse_énergie,Surface_chambre_à_coucher_5,Station_de_charge_électrique,Air_conditionné,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Panneaux_solaires_thermiques,Étage_de_lappartement,Porte_daccès_sécurisée,Porte_de_garage_motorisée,Clef_électronique,Domotique,HammamSaunaJacuzzi,Balcon,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Attestation__Installation_électrique__Validité,Possibilités_pour_profession_libérale,Surface_totale,Orientation_du_jardin,Surface_du_dressing,Compteur_deau_individuel,Adoucisseur_deau
https://immovlan.be/fr/detail/maison/a-vendre/5070/fosses-la-ville/vbc61251,VBC61251,Maison à vendre,324784,,5070 Fosses-la-Ville,,,,3,,,,,158 m²,,,,Oui,1,,,1,,2,,,,,,,,4,11 m,,,Oui,,,,,401 m²,11 m,,,Oui,,,,,,Information non communiquée,Information non communiquée,Nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/fosses-la-ville/vbc80544,VBC80544,Maison à vendre,414777,,5070 Fosses-la-Ville,,,,3,,,,,172 m²,,,,Oui,1,,,2,,2,,,,,,,,4,12 m,,,Oui,,,,,1208 m²,12 m,,,Oui,,,,,,Information non communiquée,Information non communiquée,Nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/fosses-la-ville/vbc80543,VBC80543,Maison à vendre,370942,,5070 Fosses-la-Ville,,,,4,,,,,154 m²,,,,Oui,1,,,1,,2,,,,,,,,4,11 m,,,Oui,,,,,1208 m²,11 m,,,Oui,,,,,,Information non communiquée,Information non communiquée,Nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/fosses-la-ville/vbc79177,VBC79177,Maison à vendre,180000,,5070 Fosses-la-Ville,Non,,A l’acte,3,20 m²,15 m²,45 m²,,150 m²,,Oui,,,,,,,,,,,,Double vitrage,,,,3,,,,,,,,,65 m²,,Oui,Oui,,,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,À restaurer,,,,,Oui,,,,,,,172 kWh/m²/an,,19/09/2034,,,32936 kWh/an,,,,,Oui,,,28 m²,19 m²,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5070/fosses-la-ville/vbc78943,VBC78943,Villa à vendre,379000,,5070 Fosses-la-Ville,Non,2010,A l’acte,5,,,,,257 m²,Non,Non,,Oui,1,,,2,1,2,,Oui,,,Non,,,4,,,,Oui,,Oui,55 m²,,412 m²,,,,,,pas d'application,,,,Pas de risque d’inondation,Information non communiquée,Normal,40 m²,,Non,Non,Non,Non,Non,Non,Super équipée,Gaz,,131 kWh/m²/an,20250310003758,10/03/2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/fosses-la-ville/vwd13534,VWD13534,Maison à vendre,205000,rue sinton 14,5070 Fosses-la-Ville,,1972,,3,,,,,150 m²,,,,,,,,1,,,,Non,,,,,,4,,,,Oui,,Oui,25 m²,,,,,,,,pas d'application,,,,Information non communiquée,Information non communiquée,Remis à neuf,,,,,,,,,,Mazout,,417 kWh/m²/an,,,,,,,Non,,,,,,,,,,Non,,Non,Non,pas d'application,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/fosses-la-ville/vbc77857,VBC77857,Maison à vendre,412987,,5070 Fosses-la-Ville,,,,3,,,,,147 m²,,,,,,,,1,,2,,,,,,,,4,11 m,,,,,,,,1220 m²,11 m,,,Oui,,,,,,Information non communiquée,Information non communiquée,Nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/fosses-la-ville/vbc77856,VBC77856,Maison à vendre,499638,,5070 Fosses-la-Ville,,,,3,,,,,185 m²,,,,Oui,1,,,1,,2,,,,,,,,4,11 m,,,,,,,,1220 m²,11 m,,,Oui,,,,,,Information non communiquée,Information non communiquée,Nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/fosses-la-ville/vbc75473,VBC75473,Maison à vendre,475000,,5070 Fosses-la-Ville,Non,,A l’acte,5,,,,,250 m²,Oui,,,,,,,2,,,,,,Double vitrage,Non,Non,,2,,,,Oui,,Oui,,,280 m²,,Oui,Oui,,,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,,,,Oui,,,,,,,,,243 kWh/m²/an,,19/09/2034,,,,,,,,,,,,,Oui,,,,,Oui,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/le-roux/vbc73605,VBC73605,Maison à vendre,349000,Rue de Walcourt,5070 Le Roux,,,Immédiatement,3,,,,,178 m²,Non,Oui,,,,,,,1,,,Oui,,,Non,,Nord-ouest,,,2,,Non,,Non,,,691 m²,,,,,,pas d'application,,,,Information non communiquée,Information non communiquée,,,,,,,,,,Non équipée,Non specifié,,54 kWh/m²/an,,,,2152,8846 kWh/an,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/le-roux/vbc73604,VBC73604,Maison à vendre,345000,Rue de Walcourt,5070 Le Roux,,,Immédiatement,4,,,,,167 m²,Non,Oui,,,,,,,1,,,Oui,,,Non,,Nord-ouest,,,2,1,Oui,,Non,,,610 m²,,,,,,pas d'application,,,,Information non communiquée,Information non communiquée,,,,,,,,,,Non équipée,Non specifié,,52 kWh/m²/an,,,,1916,7952 kWh/an,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/fosses-la-ville/vbc59005,VBC59005,Maison à vendre,345000,Chaussée de Charleroi 6,5070 Fosses-la-Ville,,,A l’acte,3,,,,,,,Oui,,Oui,,1,,1,,1,,,,,,,,4,,,,Oui,,,,,,,,,,,,Oui,,Non,Information non communiquée,Information non communiquée,,,,Oui,,,,,,Equipée,Mazout,,437 kWh/m²/an,20250401007601,,,,84993 kWh/an,,,,,,,,,,Oui,,,,,,,,Non,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/fosses-la-ville/vbc57907,VBC57907,Maison à vendre,480000,,5070 Fosses-la-Ville,Non,1986,,3,,,,,145 m²,Non,Non,,Oui,2,,,1,,1,,,,,Non,,Sud-est,4,,,6,Oui,880 m²,Oui,23 m²,,880 m²,,,Oui,,Oui,pas d'application,,,,Information non communiquée,Information non communiquée,,62 m²,,Non,Non,Non,Non,Non,Non,Super équipée,Mazout,,425 kWh/m²/an,20200306003033,06/03/2030,,105,78379 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/fosses-la-ville/vbc52450,VBC52450,Maison à vendre,425000,Rue de la Plage 73,5070 Fosses-la-Ville,,2023,A l’acte,4,20 m²,18 m²,16 m²,9 m²,300 m²,,Oui,,,,,,1,1,2,,,Oui,,Non,,,4,,3,4,Oui,,,,,1653 m²,,Oui,,,,,,,,Pas de risque d’inondation,Information non communiquée,En cours de construction,41 m²,,,,,,,,,,,,,,,,,,,,,,,,,28 m²,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5070/sart-eustache/vbc31073,VBC31073,Villa à vendre,449000,,5070 Sart-Eustache,,1999,A l’acte,3,27 m²,15 m²,15 m²,,225 m²,Non,,,Oui,2,,30 m²,1,,,11 m²,,,Double vitrage,Non,,,4,,,2,Oui,,Oui,40 m²,Est,1114 m²,,Oui,Oui,Oui,,,,,,Information non communiquée,Information non communiquée,Excellent,75 m²,,,Oui,,,,,Super équipée,Mazout,,238 kWh/m²/an,,01/02/2035,,,60553 kWh/an,,,,,,,,,13 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/fosses-la-ville/vbc00192,VBC00192,Maison à vendre,406212,,5070 Fosses-la-Ville,,,,3,,,,,187 m²,,,,Oui,1,,,2,,2,,,,,,,,4,8 m,,,,,,,,1500 m²,8 m,,,Oui,,,,,,Information non communiquée,Information non communiquée,Nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5070/fosses-la-ville/vbc00191,VBC00191,Maison à vendre,387959,,5070 Fosses-la-Ville,,,,3,,,,,189 m²,,,,Oui,1,,,1,,2,,,,,,,,4,12 m,,,,,,,,1500 m²,12 m,,,Oui,,,,,,Information non communiquée,Information non communiquée,Nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5070/fosses-la-ville/vbb83416,VBB83416,Appartement à vendre,307000,"Albert, 1er 15",5070 Fosses-la-Ville,,,A l’acte,2,15 m²,11 m²,,,97 m²,Non,,,,,,,1,,,,Oui,Oui,Double vitrage,Oui,Oui,Nord,,,5,,,,Oui,12 m²,,,,,,,Non,"oui, attestation conforme",,,,Information non communiquée,Information non communiquée,Nouveau,32 m²,,Oui,,,,,,Semi-équipée,,,,,,,,,Kitchenette,,,,,,,,,,,,,,,,,Oui,0,,,,,,,,,,,,,,
