ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_habitable,Meublé,Surface_du_séjour,Buanderie,Équipement_de_la_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Panneaux_solaires,Type_de_chauffage,Type_de_vitrage,Air_conditionné,Nombre_de_façades,Nombre_de_places_de_parking_extérieur,Jardin,Orientation_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Surface_totale_du_terrain,Citerne_à_eau_de_pluie,Piscine_extérieure,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,GscoreLe_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_G_représente_le_risque_dinondation_pour_les_bâtiments_de_plus_de_25m²_et_se_compose_de_4_classes_A_à_D,PScoreLe_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_DClasse_A_pas_dinondation_modéliséeClasse_B_faible_risque_dinondation_sous_le_changement_climatique_de_2050Classe_C_faible_risque_dinondation_sous_le_climat_actuelClasse_D_risque_moyen_dinondation_sous_le_climat_actuel,Le_score_P_représente_le_risque_dinondation_pour_les_parcelles_terrains_et_se_compose_de_4_classes_A_à_D,Type_de_zone_inondable,Zone_inondable_délimitée,Espace_ouvert_sensible_à_leau__WORG,Bien_actuellement_loué,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Local_vélo,Garage,Nombre_de_Garages,Ascenseur,Conso_spécifique_dénergie_primaire,Référence_PEB,Attestation__Installation_électrique,Surface_du_garage,Parlophone,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_détages_de_limmeuble,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Largeur_de_la_façade,Surface_du_jardin,Surface_constructible,Profondeur_du_terrain,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Surface_du_grenier,Type_de_cuisine,Étage_de_lappartement,Affectation_urbanistique_la_plus_récente,Surface_des_caves,Alarme_antieffraction,Largeur_du_terrain_à_rue,Balcon,Surface_du_bureau,Surface_salle_à_manger,Surface_du_dressing,Maison_basse_énergie,Panneaux_solaires_thermiques,Chauffage_au_sol,Compteur_deau_individuel,Domotique,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Raccordé_aux_égouts,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Pompe_à_chaleur,Station_de_charge_électrique,Adoucisseur_deau,Orientation_de_la_terrasse,Nombre_de_douches
https://immovlan.be/fr/detail/appartement/a-vendre/3890/gingelom/rbt22447,RBT22447,Appartement à vendre,313000,Sint-Pieterstraat,3890 Gingelom,Nouveau,,,2,,,,,,92 m²,Non,,,,,1,,,Oui,Air pulsé,Double vitrage,,,,,,Oui,15 m²,,,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3890/gingelom/rbt22446,RBT22446,Appartement à vendre,314500,Sint-Pieterstraat,3890 Gingelom,Nouveau,,,2,,,,,,96 m²,Non,,,,,1,,,Oui,Air pulsé,Double vitrage,,,,,,Oui,19 m²,,,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3890/gingelom/rbt22445,RBT22445,Appartement à vendre,475000,Sint-Pieterstraat,3890 Gingelom,Nouveau,,,3,,,,,,183 m²,Non,,,,,1,,,Oui,Air pulsé,Double vitrage,,,,,,Oui,27 m²,,,,,,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3890/gingelom/rbt13646,RBT13646,Maison à vendre,200000,Katseistraat 12,3890 Gingelom,À rénover,1963,,3,,,,,,170 m²,Non,,,Semi-équipée,,1,,,,Mazout,,,4,,Oui,,Non,,334 m²,,,,,Non,,,,,Information non communiquée,Information non communiquée,,,,Oui,,,,,Oui,1,Non,611 kWh/m²/an,20240520-0003251917-RES-1,pas d'application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/3890/gingelom/rbt10981,RBT10981,Appartement à vendre,409000,Steenweg 235 001,3890 Gingelom,Normal,2024,A l’acte,2,,,,,,117 m²,Non,,,Super équipée,,1,,,,Electrique,,,,,Non,,Oui,,,,,Oui,Oui,Non,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,Non,59 kWh/m²/an,,pas d'application,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,Oui,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3890/gingelom/vbc63773,VBC63773,Maison à vendre,849000,Brouwerijstraat 10,3890 Gingelom,Excellent,1874,,5,20 m²,18 m²,45 m²,33 m²,26 m²,361 m²,Non,34 m²,,,14 m²,2,,13 m²,Oui,,Double vitrage,,4,3,Oui,Sud,Oui,50 m²,662 m²,,Non,Non,Non,Non,,,,,Information non communiquée,Information non communiquée,,Non,Oui,Oui,,Oui,,,Oui,2,Non,334 kWh/m²/an,,"oui, attestation conforme",,Oui,Non,Nord,2,,,,,,206 m²,,,,Oui,,,,,,Oui,,,,20 m²,,,,,,,,,,,,,,Oui,Oui,Sud,
https://immovlan.be/fr/detail/maison/a-vendre/3890/niel-bij-sint-truiden/rbt09532,RBT09532,Maison à vendre,445000,Hekberg 50,3890 Niel-bij-Sint-Truiden,Normal,2021,A convenir,4,,,,,,,Non,,,Super équipée,,1,,,Oui,Gaz,,,,,Oui,,Oui,,,,,,Oui,Non,,,,,Information non communiquée,Information non communiquée,,,,,,,,,Oui,1,Non,26 kWh/m²/an,71017-G-OMV-2019137849/EP02527/A001/D01/SD001,"oui, attestation conforme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3890/gingelom/rbs92569,RBS92569,Maison à vendre,249000,Steenweg 96,3890 Gingelom,Normal,1933,A convenir,4,,,,,,142 m²,Non,,,Super équipée,,1,,,,Mazout,,,,,Oui,,Oui,,133 m²,,,,,Non,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,Non,385 kWh/m²/an,20250320-0003558288-RES-1,"oui, attestation conforme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3890/gingelom/rbs92533,RBS92533,Maison à vendre,230000,Steenweg 182,3890 Gingelom,Remis à neuf,,,3,,,,,,139 m²,Non,,,,,2,,9 m²,,Gaz,Double vitrage,,,,Oui,,Oui,25 m²,140 m²,,,,Non,,,,,,Pas de risque d’inondation,Information non communiquée,,,Non,Oui,Non,,,,,,Non,167 kWh/m²/an,20240719-003316955-RES-1,"non, pas d'attestation",,,Non,Sud-est,,,19/07/2034,,Non,5 m,140 m²,,,,,30 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/3890/gingelom/rbs86342,RBS86342,Maison à vendre,389000,Naamsestraat 2B,3890 Gingelom,Normal,1998,A convenir,3,,,,,,139 m²,Non,,,Super équipée,,1,,,Oui,Gaz,,,,,Oui,,Non,,747 m²,,,Oui,Oui,Non,,,,,Information non communiquée,Information non communiquée,,,,Oui,,,,,Oui,1,Non,281 kWh/m²/an,20250313-0003551920-RES-1,pas d'application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
