ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_habitable,Buanderie,Équipement_de_la_cuisine,Type_de_cuisine,Nombre_de_salles_de_bain,Panneaux_solaires,Panneaux_solaires_thermiques,Type_de_chauffage,Type_de_vitrage,Compteur_électrique_individuel,Compteur_Bihoraire,Compteur_de_gaz_individuel,Étage_de_lappartement,Nombre_de_façades,Nombre_détages_de_limmeuble,Jardin,Orientation_du_jardin,Terrasse_aménagée,Raccordé_au_gaz_de_ville,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Référence_PEB,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Meublé,Surface_du_séjour,Surface_du_bureau,Grenier,Nombre_de_douches,Nombre_de_toilettes,Ascenseur,Orientation_de_la_façade_du_bien,Surface_du_jardin,Surface_totale_du_terrain,Surface_constructible,Profondeur_du_terrain,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Caves,Surface_des_caves,Salle_à_manger,Surface_salle_à_manger,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Orientation_de_la_terrasse,Citerne_à_eau_de_pluie,Piscine_extérieure,Conso_annuelle_totale_dénergie_primaire,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Parlophone,Alarme_antieffraction,Accessible_aux_moins_valides,Largeur_de_la_façade,Nombre_de_places_de_parking_extérieur,Surface_de_la_terrasse,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Date_de_validité_PEB,Emission_de_CO2,Véranda,Dressing,Local_vélo,Surface_chambre_à_coucher_5,Surface_du_grenier,Surface_de_la_véranda,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Station_de_charge_électrique,Maison_basse_énergie,Chauffage_au_sol,Pompe_à_chaleur,Air_conditionné,Attestation__Citernes_à_mazout,Porte_de_garage_motorisée,Clef_électronique,Domotique,HammamSaunaJacuzzi,Feu_ouvert,Balcon,Attestation__Asbuilt,Compteur_deau_individuel,Porte_daccès_sécurisée,Attestation__Installation_électrique__Validité,Surface_du_dressing,Appartement_de_service
https://immovlan.be/fr/detail/appartement/a-vendre/5500/dinant/vay96823,VAY96823,Appartement à vendre,,Rue des Forges 4,5500 Dinant,Normal,Oui,,A l’acte,2,145 m²,,,,2,,,,Double vitrage,,,,,3,,,,,,,218 kWh/m²/an,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,35 m²,,,,2,,,,,,,,,,,,,,,,,,,21 m²,6 m²,,,,30 kWh/an,Oui,Non,Non,Oui,,,18 m,1,,18 m,Oui,16/09/2030,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5500/dinant/vbc86712,VBC86712,Maison à vendre,139000,Rue des Trois Escabelles 20,5500 Dinant,Normal,Non,,Immédiatement,2,89 m²,Non,Equipée,,1,,Non,,Double vitrage,,,,,,,,,,Oui,Oui,228 kWh/m²/an,20200219013307,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Non,15 m²,,Non,,1,Non,,,,51 m²,,18 m²,9 m²,,,Non,,Non,,,,,,12 m²,12 m²,,,Non,,,,Non,,Non,Non,,,,,,,,Non,Non,Non,,,,Non,,,Non,,Non,pas d'application,Non,Non,Non,Non,Non,Non,Non,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5500/dinant/vbc82895,VBC82895,Maison à vendre,507700,Boulevard Léon Sasserath 34,5500 Dinant,À rénover,,1950,A l’acte,9,245 m²,,,,9,,,Non specifié,,,,,,2,3,Oui,,Oui,,,,,"non, pas d'attestation",Risque moyen,Information non communiquée,,35 m²,,Oui,8,10,Non,Sud-ouest,40 m²,140 m²,,,25 m²,9 m²,14 m²,12 m²,Oui,,,,,,,,13 m²,,,,Non,,,,,,,Non,9 m,,,,,,,,,,15 m²,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5500/dinant/vbc82692,VBC82692,Appartement à vendre,325000,Rue de la Station 19,5500 Dinant,,Oui,1905,,2,136 m²,,Equipée,Américaine,1,,,Mazout,Double vitrage,,,,,,,,,Oui,,Oui,141 kWh/m²/an,,"oui, attestation conforme",Information non communiquée,Information non communiquée,,20 m²,,,,,Oui,Est,,,,,7 m²,25 m²,,,Oui,,,,Oui,1,,,,6 m²,,,Non,19210 kWh/an,,,,Oui,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5500/dinant/vbc82564,VBC82564,Maison à vendre,245000,Avenue Franchet d'Esperey 60,5500 Dinant,À rénover,,,A l’acte,6,230 m²,,,,2,,,Gaz,,,,,,2,,,,Oui,Oui,Oui,286 kWh/m²/an,,"oui, attestation non conforme",Information non communiquée,Information non communiquée,Non,42 m²,,,,3,,Ouest,,123 m²,,,18 m²,20 m²,20 m²,21 m²,Oui,,,,Oui,1,3,,12 m²,,Sud-est,,,82848 kWh/an,,,,,,,,,33 m²,,Oui,,,,,,12 m²,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5500/dinant/vbc80678,VBC80678,Appartement à vendre,99000,,5500 Dinant,À rénover,Non,,A l’acte,3,113 m²,,Equipée,Américaine,1,,,Mazout,Double vitrage,,,,,3,2,,,,,Oui,488 kWh/m²/an,,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,Non,,,,,1,Non,,,,,,17 m²,21 m²,17 m²,,,,Oui,37 m²,,,,,5 m²,4 m²,,,Non,54889 kWh/an,,,Non,,,Non,,1,,,Oui,20/08/2029,122,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5500/dinant/vbc80671,VBC80671,Maison à vendre,350000,,5500 Dinant,,Non,1958,A l’acte,3,128 m²,,Equipée,Américaine,1,,,Gaz,Double vitrage,,,,,4,,Oui,,Oui,Oui,Oui,322 kWh/m²/an,,,Pas de risque d’inondation,Information non communiquée,Non,26 m²,,Oui,,1,Non,Nord,,2392 m²,,,10 m²,17 m²,,,Oui,,Oui,26 m²,Oui,1,,,,,,,,41232 kWh/an,Oui,,Non,,,Non,,,40 m²,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/5500/dinant/vbc80267,VBC80267,Immeuble mixte à vendre,465000,,5500 Dinant,Remis à neuf,Oui,,A l’acte,6,315 m²,,Super équipée,,3,,,Gaz,,,,,,3,3,,,,,,183 kWh/m²/an,,"oui, attestation conforme",Information non communiquée,Information non communiquée,Non,,,,,3,Non,,,,,,12 m²,10 m²,12 m²,10 m²,,,,,,,,,,10 m²,,,Non,20183 kWh/an,,,,,,Non,,,,,,16/11/2030,,,,,14 m²,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5500/dinant/vbc79837,VBC79837,Maison à vendre,149000,,5500 Dinant,,Non,1850,,2,90 m²,Non,,,,,,,,,,,,3,,Non,,Oui,,Oui,386 kWh/m²/an,20231021002524,"oui, attestation conforme",Information non communiquée,Information non communiquée,Non,23 m²,,Non,1,1,Non,,,136 m²,,,,,,,Non,,Non,,,,,,,,,,,44249 kWh/an,,,,,,,,,,,,21/10/2033,97,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/5500/dinant/vbc79467,VBC79467,Appartement à vendre,189000,Avenue Franchet d'Esperey 67 6,5500 Dinant,Excellent,Non,,Immédiatement,1,95 m²,,Equipée,,1,Non,,,Double vitrage,,,,1,,,,,Oui,Oui,Oui,181 kWh/m²/an,20240321005258,"non, pas d'attestation",Pas de risque d’inondation,Information non communiquée,Non,29 m²,,Oui,,1,Non,,,,123 m²,,19 m²,,,,Oui,,,,,,,,28 m²,,,,,20407 kWh/an,Non,Non,Non,,Non,Non,,,18 m²,,,,34,,,,,,,Non,,,Non,,Non,pas d'application,Non,Non,Non,Non,Non,Non,Non,,,,,
