ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_habitable,Meublé,Surface_du_séjour,Caves,Surface_des_caves,Garage,Nombre_de_Garages,Surface_du_garage,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Surface_totale_du_terrain,Profondeur_du_terrain,Largeur_du_terrain_à_rue,Raccordé_aux_égouts,Raccordé_au_gaz_de_ville,Citerne_à_eau_de_pluie,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Type_de_zone_inondable,Zone_inondable_délimitée,Bien_actuellement_loué,Disponibilité_du_bien,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Panneaux_solaires,Référence_PEB,Année_de_construction,Équipement_de_la_cuisine,Type_de_cuisine,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_terrasse,Raccordé_à_leau_courante,Piscine_extérieure,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Attestation__Installation_électrique__Validité,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Surface_salle_à_manger,Nombre_de_place_de_parking_intérieur,Alarme_antieffraction,Surface_de_lades_salles_de_bain,Surface_du_dressing,Maison_basse_énergie,Panneaux_solaires_thermiques,Chauffage_au_sol,Air_conditionné,Domotique,Parlophone,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Attestation__Citernes_à_mazout,Le_bien_fait_lobjet_dun_droit_de_préemption,Attestation__Asbuilt,Étage_de_lappartement,Nombre_de_places_de_parking_extérieur,Surface_du_grenier,Surface_constructible,Orientation_du_jardin,Surface_totale,Station_de_charge_électrique,Pompe_à_chaleur,Compteur_Bihoraire,Surface_du_bureau,Surface_de_la_véranda,Compteur_deau_individuel,Possibilités_pour_profession_libérale,Niveau_E,Adoucisseur_deau,Adaptations_pour_les_seniors,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Balcon,Porte_de_garage_motorisée
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vaz87446,VAZ87446,Maison à vendre,169999,,6141 Forchies-la-Marche,Normal,4,10 m²,14 m²,18 m²,10 m²,,120 m²,Non,19 m²,Oui,,,,,11 m²,1,1,1,Mazout,Double vitrage,,2,,2,Oui,360 m²,Oui,,360 m²,,,Oui,Oui,,197 kWh/m²/an,,Information non communiquée,Information non communiquée,,A l’acte,Oui,Oui,Oui,,,,,,1940,Equipée,Américaine,Non,Non,,Oui,Non,,50,"non, pas d'attestation",,,,15 m²,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vaz40134,VAZ40134,Maison à vendre,249999,,6141 Forchies-la-Marche,Normal,4,13 m²,25 m²,24 m²,12 m²,,297 m²,,18 m²,Oui,,Oui,1,,24 m²,1,2,2,Gaz,Double vitrage,,3,,2,Oui,320 m²,Oui,60 m²,530 m²,,,Oui,Oui,,331 kWh/m²/an,78411 kWh/an,Information non communiquée,Information non communiquée,,,Oui,Oui,Oui,,,,Oui,,1940,Super équipée,,Non,Non,,Oui,Oui,05/04/2033,44,"non, pas d'attestation",,,,30 m²,2,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6141/forchies-la-marche/vay97880,VAY97880,Maison à vendre,129000,,6141 Forchies-la-Marche,À rénover,3,16 m²,16 m²,15 m²,,,189 m²,Non,22 m²,Oui,,,,,23 m²,3,2,3,Gaz,Double vitrage,,2,,3,Oui,215 m²,Oui,10 m²,250 m²,,,Oui,Oui,,322 kWh/m²/an,38047 kWh/an,Information non communiquée,Information non communiquée,Non,A l’acte,Oui,,,,,,,,1900,Semi-équipée,Kitchenette,Non,Non,,Oui,Non,15/11/2032,59,"non, pas d'attestation",,Non,Non,,,,,,,,,,,,,,,,Non,,,1,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/6141/forchies-la-marche/vay97878,VAY97878,Immeuble mixte à vendre,129000,,6141 Forchies-la-Marche,À rénover,3,16 m²,16 m²,15 m²,,,189 m²,Non,22 m²,Oui,,,,,23 m²,3,2,3,Gaz,Double vitrage,,2,,3,Oui,215 m²,Oui,10 m²,250 m²,,,Oui,Oui,,322 kWh/m²/an,38047 kWh/an,Information non communiquée,Information non communiquée,Non,A l’acte,Oui,,,,,,,,1900,Semi-équipée,Kitchenette,Non,Non,,Oui,Non,15/11/2032,59,"non, pas d'attestation",,Non,Non,,,,,,,,,,,,,,,,Non,,,1,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6182/souvret/vbc91633,VBC91633,Maison à vendre,260000,Rue Philippe Dumont 5,6182 Souvret,,3,,,,,,,,,Non,,,,,,,,,Gaz,,,,,,,,,,900 m²,,,,,,414 kWh/m²/an,,Information non communiquée,Information non communiquée,Non,A l’acte,Non,Non,Non,Non,Non,Non,,20250220010279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6182/souvret/vbc88505,VBC88505,Maison à vendre,379165,,6182 Souvret,Nouveau,3,,,,,,187 m²,,,,,Oui,1,,,2,,2,,,,4,8 m,,Oui,,,,726 m²,,8 m,,,Oui,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6182/souvret/vbc88504,VBC88504,Maison à vendre,352293,,6182 Souvret,Nouveau,4,,,,,,147 m²,,,,,,,,,1,,2,,,,4,11 m,,Oui,,,,726 m²,,11 m,,,Oui,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6182/souvret/vbc88503,VBC88503,Maison à vendre,382516,,6182 Souvret,Nouveau,4,,,,,,190 m²,,,,,,,,,2,,2,,,,4,12 m,,Oui,,,,675 m²,,12 m,,,Oui,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6182/souvret/vbc88502,VBC88502,Maison à vendre,343409,,6182 Souvret,Nouveau,3,,,,,,147 m²,,,,,Oui,1,,,1,,2,,,,4,11 m,,Oui,,,,675 m²,,11 m,,,Oui,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6182/souvret/vbc86777,VBC86777,Maison à vendre,169000,Allée du Muguet 11,6182 Souvret,Normal,3,12 m²,12 m²,8 m²,,,105 m²,Non,10 m²,Oui,,,,,9 m²,1,1,2,,,Nord-est,3,6 m,2,Oui,150 m²,Oui,,194 m²,,6 m,Oui,Oui,,434 kWh/m²/an,49899 kWh/an,Pas de risque d’inondation,Information non communiquée,,A l’acte,Oui,Oui,Oui,,,,,,1950,Semi-équipée,Kitchenette,Non,Non,Sud-ouest,Oui,Non,08/04/2035,81,"non, pas d'attestation",,,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6182/souvret/vbc85698,VBC85698,Maison à vendre,195000,Coron des Indes 17,6182 Souvret,Normal,3,14 m²,11 m²,26 m²,,,141 m²,Non,,Oui,,,,,10 m²,1,1,2,Gaz,Double vitrage,Sud,3,6 m,4,Oui,370 m²,Oui,6 m²,460 m²,27 m,6 m,,Oui,,270 kWh/m²/an,38046 kWh/an,Pas de risque d’inondation,Information non communiquée,,A l’acte,Oui,,Oui,,,,,,1874,Equipée,Américaine,Non,Non,,,Non,30/04/2035,50,"oui, attestation conforme",,,,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6182/souvret/vbc80395,VBC80395,Maison à vendre,180000,Coron des Indes 41,6182 Souvret,Normal,3,,,,,,100 m²,Non,,Non,,,,,,1,,1,Gaz,,Nord-est,4,,1,Oui,,,,,,,,,,547 kWh/m²/an,,Information non communiquée,Information non communiquée,Non,,Non,Non,Non,Non,Non,Non,,20250519005984,,,,Non,,,,,,,pas d'application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/6182/souvret/vbc80037,VBC80037,Maison à vendre,229000,Rue Neuve 46+,6182 Souvret,Normal,3,,,,,,150 m²,Non,47 m²,Non,,Oui,1,,,1,,2,Gaz,,,3,,,Oui,,Oui,,680 m²,,,,,,549 kWh/m²/an,,Information non communiquée,Information non communiquée,Non,,Non,Non,Non,Non,Non,Non,,20250328001458.pdf,,,,Non,,,,,,,pas d'application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
