ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_habitable,Surface_du_séjour,Surface_du_bureau,Caves,Surface_des_caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Surface_de_lades_salles_de_bain,Maison_basse_énergie,Panneaux_solaires,Panneaux_solaires_thermiques,Type_de_chauffage,Chauffage_au_sol,Type_de_vitrage,Compteur_deau_individuel,Air_conditionné,Domotique,Parlophone,Alarme_antieffraction,Porte_daccès_sécurisée,HammamSaunaJacuzzi,Feu_ouvert,Jardin,Surface_du_jardin,Terrasse_aménagée,Raccordé_aux_égouts,Raccordé_à_leau_courante,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Référence_PEB,Attestation__Installation_électrique,Attestation__Citernes_à_mazout,Le_bien_fait_lobjet_dun_droit_de_préemption,Attestation__Asbuilt,Type_de_zone_inondable,Zone_inondable_délimitée,Meublé,Surface_de_la_cuisine,Ascenseur,Accessible_aux_moins_valides,Étage_de_lappartement,Surface_de_la_terrasse,Orientation_de_la_terrasse,Conso_annuelle_totale_dénergie_primaire,Équipement_de_la_cuisine,Nombre_de_façades,Orientation_de_la_façade_du_bien,Nombre_de_places_de_parking_extérieur,Surface_totale_du_terrain,Pompe_à_chaleur,Date_de_validité_PEB,Année_de_construction,Surface_salle_à_manger,Type_de_cuisine,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Largeur_du_terrain_à_rue,Emission_de_CO2,Possibilités_pour_profession_libérale,Surface_totale,Surface_du_grenier,Porte_de_garage_motorisée,Station_de_charge_électrique,Adoucisseur_deau,Compteur_Bihoraire,Adaptations_pour_les_seniors,Orientation_du_jardin,Raccordé_au_gaz_de_ville,Citerne_à_eau_de_pluie,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Profondeur_du_terrain,Permis_de_bâtir_obtenu,Citation_pour_infraction_urbanistique,Surface_constructible,Balcon,Permis_durbanisation_accordé,Surface_du_dressing,Attestation__Installation_électrique__Validité,Compteur_électrique_individuel,Compteur_de_gaz_individuel,Appartement_de_service,Attestation__Citernes_à_mazout__Validité,Espace_ouvert_sensible_à_leau__WORG
https://immovlan.be/fr/detail/maison/a-vendre/5651/somzee/vbc62263,VBC62263,Maison à vendre,185000,Rue de l'Espenne 19,5651 Somzée,À rénover,,A l’acte,3,16 m²,18 m²,14 m²,,,125 m²,8 m²,,Oui,,Oui,,Oui,,,,Oui,1,,,1,,1,,,,,Mazout,,Double vitrage,,,,,,,,,Oui,430 m²,,Oui,Oui,,381 kWh/m²/an,,,,Non,,Information non communiquée,Information non communiquée,Non,14 m²,Non,Oui,,,,59473 kWh/an,,2,,,,,08/04/2035,,16 m²,Indépendante,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/duplex/a-vendre/5651/thy-le-chateau/vbc58930,VBC58930,Duplex à vendre,249000,,5651 Thy-le-Château,Normal,,A l’acte,3,22 m²,20 m²,23 m²,,,181 m²,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,Oui,,,,129 kWh/m²/an,,,,,,Information non communiquée,Information non communiquée,,,,,,16 m²,,27692 kWh/an,,4,,,,,26/01/2035,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5651/thy-le-chateau/vbc40920,VBC40920,Maison à vendre,410000,Rue de Nalinnes 89,5651 Thy-le-Château,Normal,,A l’acte,4,11 m²,10 m²,9 m²,,,184 m²,34 m²,,Oui,43 m²,,,,,,,Oui,1,,25 m²,2,1,2,9 m²,,,,Mazout,,Double vitrage,,,,,,,,,Oui,1546 m²,Oui,,Oui,Non,318 kWh/m²/an,,"non, pas d'attestation",,,,Pas de risque d’inondation,Information non communiquée,Non,16 m²,Non,Non,,,,70177 kWh/an,Semi-équipée,4,Ouest,,1672 m²,,20/02/2025,2005,,Kitchenette,13 m,1,13 m,79,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5651/laneffe/vbc33802,VBC33802,Maison à vendre,225000,,5651 Laneffe,Normal,,,3,24 m²,13 m²,15 m²,,,152 m²,,,,,Oui,,,,,,Oui,,,,1,,2,,,,,,,,,,,,,,,,,,Oui,,,,219 kWh/m²/an,,,,,,Information non communiquée,Information non communiquée,,,,,,,,29341 kWh/an,,4,,,243 m²,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5651/gourdinne/vbc32970,VBC32970,Villa à vendre,229000,rue de la Mésange 5,5651 Gourdinne,Normal,Oui,,2,14 m²,15 m²,,,,144 m²,22 m²,,,,,,Oui,,,,Oui,1,,,1,1,1,,,,,Mazout,,Double vitrage,,,,,,,,,Oui,1500 m²,,Oui,Oui,Non,436 kWh/m²/an,,"oui, attestation non conforme",,,,Pas de risque d’inondation,Information non communiquée,Non,6 m²,Non,Oui,,,,52058 kWh/an,Semi-équipée,4,Ouest,,1703 m²,,17/01/2030,,21 m²,Kitchenette,,,,108,,,,,,,,,,Oui,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5651/berzee/vbb69734,VBB69734,Maison à vendre en viager,60000,Rue de l'Espenne 41,5651 Berzée,Excellent,,,3,15 m²,14 m²,8 m²,,,128 m²,39 m²,,,,Oui,,,,,,Oui,1,,,2,1,2,,,,,,,Double vitrage,,Oui,,,Oui,,,,Oui,678 m²,Oui,Oui,Oui,,212 kWh/m²/an,,"oui, attestation conforme",,Non,,Information non communiquée,Information non communiquée,Non,9 m²,,Non,,100 m²,Nord-ouest,33140 kWh/an,Super équipée,3,Est,2,766 m²,,27/08/2032,2001,,,11 m,,11 m,53,,,,,,,,,,,Oui,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5651/thy-le-chateau/vbc37779,VBC37779,Maison à vendre,475000,Chemin des Meuniers 70,5651 Thy-le-Château,À rénover,Non,A l’acte,3,,,,,,372 m²,,,Non,,Non,Non,Non,Non,Non,Non,Oui,1,,,1,,1,,,,,Non specifié,,,,,,,,,,,,,Oui,,,,263 kWh/m²/an,,pas d'application,,,,Information non communiquée,Information non communiquée,Non,,Non,,,,,,,4,,,,,,1980,,,,,,263,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5651/laneffe/vbc05201,VBC05201,Maison à vendre,135000,Rue du Temple 14,5651 Laneffe,À rénover,Non,A l’acte,2,,,,,,73 m²,24 m²,,Non,,Non,Non,Non,Non,Non,Non,Oui,2,,,1,,,,,,,,,,,,,,,,,,Oui,,,,,,1136 kWh/m²/an,20241129024650,pas d'application,,,,Information non communiquée,Information non communiquée,Non,,Non,,,,,,,4,,,1123 m²,,,1967,,,,,,1136,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5651/thy-le-chateau/vbc00125,VBC00125,Villa à vendre,285000,Rue de Nalinnes 34,5651 Thy-le-Château,À rénover,Non,A l’acte,2,,,,,,141 m²,58 m²,,Non,,Non,Non,Non,Non,Non,Non,Oui,3,,,1,,1,,,,,Non specifié,,,,,,,,,,,Oui,,Oui,,,,458 kWh/m²/an,,"oui, attestation non conforme",,,,Information non communiquée,Information non communiquée,Non,,Non,,,,,64468 kWh/an,,4,,4,1303 m²,,01/11/2034,,,,,,,458,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5651/thy-le-chateau/vba81266,VBA81266,Maison à vendre,250000,,5651 Thy-le-Château,,Non,A l’acte,5,,,,,,245 m²,23 m²,,Non,,Non,Non,Non,Non,Non,Non,Oui,1,,,1,1,2,,,,,Non specifié,,,,,,,,,,,Oui,381 m²,Oui,,Oui,,359 kWh/m²/an,20230803000121,pas d'application,,,,Pas de risque d’inondation,Information non communiquée,Non,,Non,,,25 m²,,87944 kWh/an,Super équipée,2,,1,700 m²,,03/08/2033,,,,,3,,89,,,,,,,,,,,,,28 m,,,140 m²,,,,,,,,,
