ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_habitable,Meublé,Surface_du_séjour,Salle_à_manger,Surface_salle_à_manger,Garage,Équipement_de_la_cuisine,Type_de_cuisine,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Ascenseur,Accessible_aux_moins_valides,Nombre_de_façades,Nombre_détages_de_limmeuble,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_totale_du_terrain,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Emission_de_CO2,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Bien_actuellement_loué,Grenier,Surface_du_grenier,Surface_de_lades_salles_de_bain,Type_de_vitrage,Orientation_de_la_façade_du_bien,Orientation_de_la_terrasse,Raccordé_aux_égouts,Raccordé_à_leau_courante,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Caves,Nombre_de_Garages,Panneaux_solaires,Attestation__Installation_électrique__Validité,Véranda,Dressing,Buanderie,Local_vélo,Nombre_de_place_de_parking_intérieur,Porte_de_garage_motorisée,Clef_électronique,Panneaux_solaires_thermiques,Chauffage_au_sol,Air_conditionné,Domotique,Alarme_antieffraction,HammamSaunaJacuzzi,Feu_ouvert,Nombre_de_places_de_parking_extérieur,Surface_de_la_terrasse,Surface_constructible,Raccordé_au_gaz_de_ville,Balcon,Référence_PEB,Attestation__Citernes_à_mazout,Le_bien_fait_lobjet_dun_droit_de_préemption,Attestation__Asbuilt,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Largeur_de_la_façade,Surface_du_dressing,Surface_du_garage,Largeur_du_terrain_à_rue,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Citerne_à_eau_de_pluie,Attestation__Citernes_à_mazout__Validité,Étage_de_lappartement,Orientation_du_jardin,Surface_du_bureau,Surface_des_caves,Surface_de_la_véranda,Possibilités_pour_profession_libérale,Compteur_Bihoraire,Maison_basse_énergie,Barbecue,Parlophone,Station_de_charge_électrique,Profondeur_du_terrain,Pompe_à_chaleur
https://immovlan.be/fr/detail/maison/a-vendre/5575/gedinne/vbc53192,VBC53192,Maison à vendre,325000,rue de l'auberge 6,5575 Gedinne,Excellent,,Immédiatement,3,18 m²,13 m²,10 m²,,,150 m²,Non,35 m²,,,,Equipée,,8 m²,1,,2,,Non,Non,,,Oui,400 m²,,,,108 kWh/m²/an,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Oui,Oui,,,Double vitrage,,,,Oui,16130 kWh/an,,,,Non,,,,,,,Non,Non,,Non,Non,Non,Non,Non,Non,1,,540 m²,Oui,Non,20230412503986,,Non,Oui,Non,,,,,Oui,Non,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5575/gedinne/vbc75518,VBC75518,Maison à vendre,399000,Rue Grande 38,5575 Gedinne,Excellent,1850,A l’acte,6,12 m²,17 m²,12 m²,12 m²,14 m²,224 m²,Oui,46 m²,Oui,,Oui,Equipée,Américaine,13 m²,2,1,2,Mazout,Non,Non,3,2,Oui,150 m²,Oui,339 m²,Non,443 kWh/m²/an,109,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,Oui,80 m²,6 m²,Double vitrage,Sud,Nord,Oui,,103567 kWh/an,12/05/2035,Oui,1,,,,,,,,,,,,,,,,,,20 m²,,,,,,,,,,,17 m²,,,,,,,,,30 m²,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5575/gedinne/vbc75254,VBC75254,Maison à vendre,165000,Rue de France 54,5575 Gedinne,,1850,Immédiatement,3,23 m²,14 m²,15 m²,,,120 m²,Non,19 m²,,,Oui,Semi-équipée,Kitchenette,16 m²,1,1,2,,Non,Non,3,2,Oui,400 m²,Oui,713 m²,Non,493 kWh/m²/an,8,"non, pas d'attestation",Pas de risque d’inondation,Information non communiquée,,Oui,22 m²,11 m²,Double vitrage,,,Oui,Oui,73608 kWh/an,06/05/2035,,,,,,,,,,,,,,,,,,,,25 m²,,,,,,,,,,,21 m²,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5575/willerzie/vwd13347,VWD13347,Maison à vendre,175000,,5575 Willerzie,Normal,,A l’acte,3,,,,,,200 m²,,,,,Oui,Equipée,,,1,,,Mazout,,,2,,Oui,,Oui,274 m²,,472 kWh/m²/an,,"oui, attestation conforme",Information non communiquée,Information non communiquée,Non,Oui,,,Double vitrage,,,,,,,Oui,,,,,,Oui,,1,,,,,,,,,,,,,,,20160804000170,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/5575/gedinne/vbc68567,VBC68567,Immeuble mixte à vendre,169000,Rue Gilbert Lepropre 24 ABC,5575 Gedinne,À rénover,1874,A l’acte,4,20 m²,47 m²,25 m²,6 m²,,247 m²,Non,25 m²,Oui,17 m²,Oui,Equipée,Américaine,20 m²,1,1,1,Mazout,Non,Non,2,4,Oui,300 m²,Oui,416 m²,Non,298 kWh/m²/an,8,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,,,,,Double vitrage,Nord,Sud-ouest,,,72002 kWh/an,04/03/2030,Oui,1,,,,,,,,,,,,,,,,,,20 m²,,,,,,,,,,,15 m²,,,,,,,,,58 m²,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5575/gedinne/vbc67481,VBC67481,Maison à vendre,199000,Rue Grande 59,5575 Gedinne,Normal,1850,A l’acte,3,16 m²,15 m²,13 m²,,,183 m²,Non,68 m²,,,Oui,Semi-équipée,Kitchenette,14 m²,2,2,2,,Non,Non,4,2,,,,214 m²,Non,288 kWh/m²/an,,"non, pas d'attestation",Pas de risque d’inondation,Information non communiquée,Non,Oui,,,Double vitrage,Nord-ouest,,Oui,Oui,,04/03/2035,,1,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,16 m²,,Non,Non,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5575/houdremont/vwd12612,VWD12612,Maison à vendre,149000,Rue Joseph Dubois 27,5575 Houdremont,Normal,,A l’acte,2,12 m²,12 m²,,,,177 m²,,33 m²,,,,Semi-équipée,,18 m²,1,,,Mazout,,,2,,,,Oui,141 m²,,317 kWh/m²/an,,,Information non communiquée,Information non communiquée,,Oui,51 m²,6 m²,Double vitrage,,,,,,05/03/2035,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,20250305018815,,,,,,,,,,,,,,,16 m²,29 m²,11 m²,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5575/willerzie/vbc64114,VBC64114,Maison à vendre,275000,Rue du Faubourg 22,5575 Willerzie,Nouveau,,Immédiatement,4,17 m²,22 m²,16 m²,10 m²,,184 m²,Non,33 m²,,,,Equipée,,14 m²,1,,2,,Non,Non,,,Oui,100 m²,Oui,,,41 kWh/m²/an,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Non,,,,Double vitrage,,,,Oui,7589 kWh/an,,Oui,,Oui,,,,,,,Non,Non,,Oui,Non,Non,Non,Non,Non,1,16 m²,180 m²,Non,Non,20250402027645,pas d'application,Non,Oui,Non,,,,,Non,Non,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5575/willerzie/vbc64113,VBC64113,Maison à vendre,265000,Rue du Faubourg 22 A,5575 Willerzie,Nouveau,,Immédiatement,3,,,,,,148 m²,Non,,Non,,Oui,Equipée,,,1,,2,,Non,Non,,,,,Oui,,Non,79 kWh/m²/an,,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Non,Non,,,Double vitrage,,,,Oui,,,Non,,Oui,,Non,Non,Non,Non,1,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,1,,,Non,Oui,20250402029033,pas d'application,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5575/gedinne/vbc63495,VBC63495,Maison à vendre,325000,Rue de la Morie 28,5575 Gedinne,Normal,1930,A l’acte,4,9 m²,9 m²,9 m²,9 m²,,152 m²,Oui,79 m²,Oui,16 m²,,,,17 m²,2,2,2,,Non,Non,4,2,Oui,700 m²,Oui,946 m²,Non,928 kWh/m²/an,65,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,Non,,,5 m²,Double vitrage,Ouest,Est,,Oui,194894 kWh/an,02/04/2035,,,,,,,,,,,,,,,,,,,,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
