ad_link,Ref,Titre,Prix,Addresse,Localite,Etat_du_bien,Bien_actuellement_loué,Année_de_construction,Disponibilité_du_bien,Nombre_de_chambres_à_coucher,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Surface_chambre_à_coucher_3,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Dressing,Surface_du_dressing,Surface_de_la_cuisine,Nombre_de_salles_de_bain,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Type_de_vitrage,Ascenseur,Accessible_aux_moins_valides,Orientation_de_la_façade_du_bien,Nombre_de_façades,Largeur_de_la_façade,Nombre_détages_de_limmeuble,Nombre_de_places_de_parking_extérieur,Jardin,Surface_du_jardin,Terrasse_aménagée,Surface_de_la_terrasse,Orientation_de_la_terrasse,Surface_totale_du_terrain,Raccordé_aux_égouts,Raccordé_à_leau_courante,Citerne_à_eau_de_pluie,Piscine_extérieure,Conso_spécifique_dénergie_primaire,Conso_annuelle_totale_dénergie_primaire,Date_de_validité_PEB,Emission_de_CO2,Attestation__Installation_électrique,Attestation__Installation_électrique__Validité,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Type_de_zone_inondable,Zone_inondable_délimitée,Chauffage_au_sol,Pompe_à_chaleur,Appartement_de_service,Véranda,Salle_à_manger,Buanderie,Local_vélo,Garage,Nombre_de_Garages,Raccordé_au_gaz_de_ville,Référence_PEB,Surface_constructible,Équipement_de_la_cuisine,Type_de_cuisine,Espace_ouvert_sensible_à_leau__WORG,Largeur_du_terrain_à_rue,Porte_de_garage_motorisée,Clef_électronique,Surface_de_lades_salles_de_bain,Panneaux_solaires_thermiques,Air_conditionné,Domotique,Alarme_antieffraction,HammamSaunaJacuzzi,Feu_ouvert,Balcon,Attestation__Citernes_à_mazout,Attestation__Asbuilt,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Profondeur_du_terrain,Surface_chambre_à_coucher_4,Nombre_de_place_de_parking_intérieur,Surface_des_caves,Surface_salle_à_manger,Surface_du_garage,Orientation_du_jardin,Surface_du_grenier,Station_de_charge_électrique,Panneaux_solaires,Surface_chambre_à_coucher_5,Étage_de_lappartement,Surface_du_bureau,Parlophone,Adoucisseur_deau,Maison_basse_énergie,Compteur_Bihoraire,Possibilités_pour_profession_libérale,Compteur_deau_individuel
https://immovlan.be/fr/detail/maison/a-vendre/5530/spontin/vbc79359,VBC79359,Maison à vendre,450000,,5530 Spontin,Normal,,,A l’acte,3,14 m²,19 m²,12 m²,336 m²,,,,Oui,,,46 m²,1,,2,Mazout,Double vitrage,Non,Non,Ouest,4,,1,,Oui,,Oui,,Sud,3432 m²,,Oui,,Non,400 kWh/m²/an,134302 kWh/an,17/03/2035,99,"oui, attestation non conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,Equipée,Américaine,,,,,12 m²,,,,,,,,,,,,,,,,,Sud,42 m²,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5530/durnal/vbc77486,VBC77486,Maison à vendre,225000,Rue Try d'Andoy 6,5530 Durnal,À rénover,Non,1961,A l’acte,4,15 m²,12 m²,10 m²,170 m²,Non,19 m²,,Oui,,,12 m²,2,1,1,,Double vitrage,Non,Oui,Sud,3,,2,,,,,,,210 m²,Oui,Oui,,Non,442 kWh/m²/an,102213 kWh/an,19/05/2035,7,"oui, attestation non conforme",,,Non,Non,Pas de risque d’inondation,Information non communiquée,,,,,Oui,,,Oui,1,,,,Equipée,Américaine,,,,,,,,,,,,,,,,,10 m²,,,24 m²,17 m²,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5530/yvoir/vbc74755,VBC74755,Maison à vendre,249000,Rue Eugène Ysaye 2,5530 Yvoir,Normal,Oui,1918,,2,12 m²,10 m²,,120 m²,Non,31 m²,Oui,Oui,Oui,8 m²,5 m²,1,10,1,Mazout,Double vitrage,Non,Non,,4,,1,,Oui,160 m²,Oui,,,393 m²,Oui,Oui,,Non,600 kWh/m²/an,,,149,"oui, attestation conforme",,,,,Risque moyen,Information non communiquée,,,,,,,,,,,,,Equipée,Américaine,,,,,,,,,,,,,,,,,,,,,19 m²,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5530/yvoir/vbc71847,VBC71847,Maison à vendre en viager,36000,Chemin d'Harnoy 1,5530 Yvoir,Normal,Non,,Immédiatement,1,12 m²,,,52 m²,Non,31 m²,Non,Non,Non,,8 m²,1,,1,,Double vitrage,Non,Non,,,,,1,Oui,460 m²,Oui,65 m²,,,,Oui,,Non,548 kWh/m²/an,,,,"oui, attestation conforme",,,,Non,Risque élevé,Information non communiquée,Non,,,Non,Non,Non,Non,Oui,,Oui,20250428030505,460 m²,,,,,Non,Non,7 m²,Non,Non,Non,Non,Non,Non,Non,,Non,Non,,,1,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/fermette/a-vendre/5530/yvoir/vbc71398,VBC71398,Fermette à vendre,99000,Parc résidentiel La Gayolle 275,5530 Yvoir,Normal,Non,,Immédiatement,1,,,,45 m²,Oui,31 m²,Non,Non,Non,,,1,,2,,Double vitrage,Non,Non,,,,,1,Oui,200 m²,Oui,23 m²,,,,Oui,,Non,,,,,"oui, attestation non conforme",,,,Non,Pas de risque d’inondation,Information non communiquée,Non,,,Non,Non,Non,Non,,,Non,,200 m²,,,,,Non,Non,5 m²,Non,Non,Non,Non,Non,Non,Non,,Non,Non,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5530/godinne/vbc71357,VBC71357,Maison à vendre,435000,,5530 Godinne,,Non,1998,,4,,,,231 m²,Non,53 m²,Non,Non,Non,,,,2,3,Mazout,,Non,,Sud-ouest,4,,1,3,Oui,1366 m²,Oui,45 m²,,1366 m²,,Oui,,,238 kWh/m²/an,21712 kWh/an,23/06/2028,,"oui, attestation conforme",,,,,Information non communiquée,Information non communiquée,,,,Non,Non,Non,Non,Oui,1,,20180623002669,160 m²,Super équipée,,,,,,,,,,,,,,,,,50 m,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/immeuble-mixte/a-vendre/5530/yvoir/vbc63933,VBC63933,Immeuble mixte à vendre,298000,Place des Combattants 13,5530 Yvoir,,Oui,,A l’acte,1,10 m²,,,83 m²,Non,26 m²,,Oui,,,13 m²,1,,2,Mazout,Double vitrage,Non,Non,Sud,2,12 m,2,,,,,,,200 m²,Oui,Oui,,Non,492 kWh/m²/an,55155 kWh/an,,,"oui, attestation non conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,,,,,,Semi-équipée,Kitchenette,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/fermette/a-vendre/5530/yvoir/vbc61516,VBC61516,Fermette à vendre,95000,Parc Résidentiel La Gayolle 443,5530 Yvoir,Excellent,Non,,Immédiatement,1,9 m²,,,40 m²,Oui,20 m²,Non,Non,Non,,5 m²,1,,1,,Double vitrage,Non,Oui,,,,,1,Oui,262 m²,Oui,16 m²,,,,Oui,,Non,,,,,"oui, attestation conforme",,,,Non,Pas de risque d’inondation,Information non communiquée,Non,,,Non,Non,Non,Non,,,Non,,262 m²,Equipée,,,,Non,Non,3 m²,Non,Oui,Non,Non,Non,Non,Non,,Non,Non,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/villa/a-vendre/5530/yvoir/vbc49442,VBC49442,Villa à vendre,549000,,5530 Yvoir,Excellent,,2016,A l’acte,3,,,,222 m²,Non,,,,,,,1,,,Gaz,Double vitrage,Non,,,4,,1,1,Oui,1428 m²,Oui,,,1650 m²,Oui,Oui,,Non,53 kWh/m²/an,11695 kWh/an,02/09/2034,13,,,,,,Information non communiquée,Information non communiquée,,,,,,,,,,,,,Super équipée,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/5530/yvoir/vbc45650,VBC45650,Maison à vendre,595000,,5530 Yvoir,Excellent,,2009,,5,33 m²,20 m²,18 m²,470 m²,Non,47 m²,Oui,Oui,Oui,5 m²,26 m²,3,,2,Mazout,Double vitrage,Non,Non,,4,,2,4,Oui,9002 m²,Oui,,,1270 m²,,Oui,,Non,154 kWh/m²/an,72601 kWh/an,27/01/2035,38,"oui, attestation conforme",,,,,Pas de risque d’inondation,Information non communiquée,,,,,,,,Oui,,,,,Super équipée,,,,,,4 m²,,,,,,,,,,,,24 m²,,,,,,70 m²,,,13 m²,,,,,,,,
