ad_link,Ref,Titre,Prix,Addresse,Localite,Bien_actuellement_loué,Année_de_construction,Nombre_de_chambres_à_coucher,Surface_habitable,Meublé,Surface_du_séjour,Caves,Grenier,Véranda,Salle_à_manger,Dressing,Buanderie,Local_vélo,Garage,Nombre_de_douches,Nombre_de_toilettes,Type_de_chauffage,Ascenseur,Étage_de_lappartement,Orientation_de_la_façade_du_bien,Nombre_de_façades,Nombre_détages_de_limmeuble,Terrasse_aménagée,Surface_de_la_terrasse,Surface_constructible,Raccordé_à_leau_courante,Conso_spécifique_dénergie_primaire,Attestation__Installation_électrique,Type_de_zone_inondable,Zone_inondable_délimitée,Disponibilité_du_bien,Référence_PEB,Date_de_validité_PEB,Emission_de_CO2,Équipement_de_la_cuisine,Nombre_de_salles_de_bain,Raccordé_au_gaz_de_ville,Etat_du_bien,Nombre_de_Garages,Largeur_de_la_façade,Jardin,Surface_totale_du_terrain,Largeur_du_terrain_à_rue,Citerne_à_eau_de_pluie,Maison_basse_énergie,Panneaux_solaires,Type_de_vitrage,Nombre_de_place_de_parking_intérieur,Surface_du_garage,Station_de_charge_électrique,Pompe_à_chaleur,Air_conditionné,Surface_du_jardin,Surface_chambre_à_coucher_1,Surface_chambre_à_coucher_2,Type_de_cuisine,Surface_de_la_cuisine,Surface_de_lades_salles_de_bain,Parlophone,Accessible_aux_moins_valides,Orientation_de_la_terrasse,Raccordé_aux_égouts,Conso_annuelle_totale_dénergie_primaire,Permis_de_bâtir_obtenu,Permis_durbanisation_accordé,Le_bien_fait_lobjet_dun_droit_de_préemption,Surface_du_bureau,Surface_des_caves,Surface_du_grenier,Nombre_de_places_de_parking_extérieur,Profondeur_du_terrain,Piscine_extérieure,Orientation_du_jardin,Surface_chambre_à_coucher_3,Surface_chambre_à_coucher_4,Surface_chambre_à_coucher_5,Surface_salle_à_manger,Adoucisseur_deau,Alarme_antieffraction,Possibilités_pour_profession_libérale,Balcon,Le_bien_est__classé__ou_fait_partie_dun_ensemble_classé_au_patrimoine,Surface_totale,Compteur_électrique_individuel,Compteur_de_gaz_individuel,Porte_daccès_sécurisée,Attestation__Installation_électrique__Validité,Chauffage_au_sol,Compteur_Bihoraire,Panneaux_solaires_thermiques,Feu_ouvert,Attestation__Citernes_à_mazout,Appartement_de_service,Attestation__Asbuilt
https://immovlan.be/fr/detail/maison/a-vendre/4300/waremme/vbc53516,VBC53516,Maison à vendre,375760,,4300 Waremme,,,4,147 m²,,,,,,,,,,,,2,,,,,4,,,,,,,,Information non communiquée,Information non communiquée,,,,,,1,,Nouveau,,11 m,,3562 m²,11 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4300/waremme/vbc53515,VBC53515,Maison à vendre,404123,,4300 Waremme,,,3,184 m²,,,,,,,,,,Oui,,2,,,,,4,,,,,,,,Information non communiquée,Information non communiquée,,,,,,1,,Nouveau,1,12 m,,3562 m²,12 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4300/waremme/vbc45922,VBC45922,Maison à vendre,350000,RUE lieutenant charles h dossey 15,4300 Waremme,,1985,3,163 m²,,29 m²,,,Oui,,,,,Oui,1,2,Mazout,Non,,,4,1,Oui,20 m²,,Oui,253 kWh/m²/an,"oui, attestation non conforme",Pas de risque d’inondation,Information non communiquée,,,,,,1,,Normal,1,16 m,Oui,778 m²,16 m,,,,Double vitrage,,,,,,608 m²,14 m²,20 m²,,11 m²,6 m²,,Non,,Oui,53578 kWh/an,,,,14 m²,,,1,35 m,Non,,17 m²,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison-de-maitre/a-vendre/4300/waremme/vbc46664,VBC46664,Maison de maître à vendre,399000,Rue gustave renier 13,4300 Waremme,,1918,4,234 m²,,,Oui,Oui,,Oui,,,,Oui,1,2,Mazout,Non,,,2,2,Oui,45 m²,,Oui,403 kWh/m²/an,"oui, attestation conforme",Pas de risque d’inondation,Information non communiquée,A l’acte,,,,,1,,Normal,1,5 m,Oui,465 m²,5 m,Oui,,,Double vitrage,,,,,,323 m²,15 m²,18 m²,,12 m²,6 m²,,Non,,Oui,117292 kWh/an,,,,,51 m²,,1,50 m,Non,Nord-est,16 m²,18 m²,,18 m²,,,,Oui,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4300/waremme/vbc49794,VBC49794,Maison à vendre,290000,Rue Hubert Krains 28,4300 Waremme,,,2,173 m²,Non,,Non,Oui,Non,,,,,,,,Mazout,Non,,Sud-est,,2,Oui,110 m²,,,453 kWh/m²/an,"non, pas d'attestation",Pas de risque d’inondation,Information non communiquée,,20250315012383,15/03/2035,112,,1,,Remis à neuf,,,Oui,880 m²,,,,,Double vitrage,,,,,,,,,,,,,Non,,,82344 kWh/an,,Non,,,,25 m²,,,,,,,,,,,,,Non,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4300/waremme/vbc48197,VBC48197,Appartement à vendre,195000,Rue du Vicinal 9 11,4300 Waremme,,,1,68 m²,Non,,,,,,,,,Oui,1,1,Gaz,Oui,1,,,3,Non,,,Oui,65 kWh/m²/an,"oui, attestation conforme",Information non communiquée,Information non communiquée,,20200217501143,,11,,,Oui,,,,Non,,,,,,,,,,,,,,,,,,,,,,4392 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4300/waremme/vbc32199,VBC32199,Maison à vendre,155000,Rue des Remparts 17 B,4300 Waremme,,1957,3,130 m²,Non,16 m²,,,,,,,,,,,,Non,,Nord-ouest,2,,Oui,10 m²,57 m²,Oui,481 kWh/m²/an,"oui, attestation non conforme",Information non communiquée,Information non communiquée,A l’acte,20240206003999,03/02/2034,120,,2,,,,8 m,Oui,167 m²,,,,,,,,,,,60 m²,,,,,,,,,,78401 kWh/an,,,,,,,,22 m,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4300/waremme/vbc32198,VBC32198,Appartement à vendre,220000,Avenue Guillaume Joachim 12 4,4300 Waremme,,1998,2,97 m²,Non,30 m²,,,,,,,,Oui,,1,Mazout,Oui,2,Sud-ouest,,4,Non,,,Oui,139 kWh/m²/an,pas d'application,Information non communiquée,Information non communiquée,,20161119001387,19/11/2026,35,,1,,,1,,Non,,,,,,,,,,,,,,,,,,,,,,13532 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/appartement/a-vendre/4300/waremme/vbc21675,VBC21675,Appartement à vendre,195000,Avenue Guillaume Joachim 12 8,4300 Waremme,,1997,2,111 m²,Non,,,,,,,,,Oui,,1,Mazout,Oui,4,Sud-ouest,,,Non,,,,276 kWh/m²/an,pas d'application,Information non communiquée,Information non communiquée,,20190405012606,,,,1,,,1,,Non,,,,,,,,,,,,,,,,,,,,,,36398 kWh/an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://immovlan.be/fr/detail/maison/a-vendre/4300/waremme/vbc21240,VBC21240,Maison à vendre,239000,Rue de la Wérick 1,4300 Waremme,,1950,3,148 m²,Non,27 m²,,Oui,,,,,,,,1,Mazout,Non,,Nord-ouest,2,1,Non,,110 m²,Oui,324 kWh/m²/an,"oui, attestation conforme",Information non communiquée,Information non communiquée,A l’acte,20160324028819,24/03/2026,,,1,,,,9 m,Oui,276 m²,,,,,,,,,,,120 m²,,,,,,,,,,4796 kWh/an,,,,,,,,38 m,,,,,,,,,,,,,,,,,,,,,,,
